Time,P1,P2,IM,Rec
454,0.94582011,0.999990666,75,0.90646
464,0.950937301,0.999994328,75,0.91426
474,0.955578447,0.99999659,75,0.9216
484,0.959777965,0.999997972,75,0.9276
494,0.963569453,0.999998807,75,0.9336
504,0.966985441,0.999999306,75,0.93922
514,0.970057202,0.9999996,75,0.94536
524,0.972814585,0.999999772,75,0.94934
534,0.975285897,0.999999872,75,0.95382
544,0.977497822,0.999999929,75,0.95806
554,0.979475363,0.999999961,75,0.9618
564,0.981241824,0.999999979,75,0.9648
574,0.982818804,0.999999988,75,0.968
584,0.984226221,0.999999994,75,0.97082
594,0.985482356,0.999999997,75,0.9735
601,0.986280637,0.999999998,75,0.975
611,0.987317086,0.999999999,75,0.97706
621,0.988243879,0.999999999,75,0.97906
631,0.98907379,1,75,0.98084
641,0.98981829,1,75,0.98278
651,0.990487643,1,75,0.98426
661,0.991090989,1,75,0.98612
671,0.991636442,1,75,0.98714
681,0.99213117,1,75,0.98832
691,0.992581486,1,75,0.98934
701,0.992992928,1,75,0.99022
711,0.993370337,1,75,0.99094
721,0.993717928,1,75,0.99184
731,0.994039362,1,75,0.99242
741,0.994337807,1,75,0.9929
751,0.994615996,1,75,0.99352
761,0.994876281,1,75,0.99414
771,0.995120678,1,75,0.99448
781,0.995350917,1,75,0.9948
791,0.995568474,1,75,0.99506
801,0.995774608,1,75,0.9956
811,0.995970394,1,75,0.99586
821,0.996156747,1,75,0.99624
831,0.996334445,1,75,0.9965
841,0.996504154,1,75,0.99672
851,0.996666441,1,75,0.997
861,0.996821795,1,75,0.99716
871,0.996970634,1,75,0.9974
881,0.99711332,1,75,0.9977
891,0.99725017,1,75,0.99802
901,0.997381459,1,75,0.99816
911,0.997507435,1,75,0.9983
921,0.997628314,1,75,0.99852
931,0.997744296,1,75,0.99872
941,0.997855562,1,75,0.99896
951,0.997962276,1,75,0.99906
961,0.998064595,1,75,0.9991
971,0.998162666,1,75,0.99922
981,0.998256625,1,75,0.99936
991,0.998346606,1,75,0.99944
4,0.086040019,0.245976508,80,0.05546
14,0.189224784,0.253304181,80,0.12022
24,0.193519624,0.268540701,80,0.12388
34,0.199476737,0.291199174,80,0.12998
44,0.207415378,0.320568203,80,0.13744
54,0.217272688,0.355748966,80,0.14678
64,0.228971251,0.39570085,80,0.15802
74,0.242420116,0.439292396,80,0.1705
84,0.257515988,0.485354106,80,0.18476
94,0.27414456,0.532729697,80,0.2018
104,0.292181963,0.580322725,80,0.21972
114,0.311496324,0.627136107,80,0.23752
124,0.331949373,0.672302741,80,0.25598
134,0.353398102,0.71510627,80,0.27588
144,0.375696437,0.754991825,80,0.29574
154,0.398696886,0.791567295,80,0.31642
164,0.422252156,0.824596297,80,0.33706
174,0.4462167,0.853984402,80,0.35868
184,0.470448181,0.879760448,80,0.38104
194,0.494808823,0.902054824,80,0.40258
204,0.519166649,0.921076496,80,0.42434
214,0.543396573,0.93709035,80,0.44736
224,0.567381349,0.950396105,80,0.46928
234,0.591012366,0.961309718,80,0.49194
244,0.614190286,0.97014785,80,0.514
254,0.636825516,0.977215635,80,0.53704
264,0.658838531,0.982797726,80,0.55884
274,0.680160041,0.987152389,80,0.5797
284,0.700731009,0.990508245,80,0.60136
294,0.720502545,0.993063215,80,0.62132
304,0.739435661,0.994985154,80,0.6418
314,0.757500929,0.996413717,80,0.6607
324,0.774678029,0.997463008,80,0.68012
334,0.790955223,0.998224661,80,0.69848
344,0.806328758,0.998771059,80,0.71614
354,0.820802212,0.999158472,80,0.73372
364,0.834385813,0.999429976,80,0.74934
374,0.847095715,0.999618051,80,0.7665
384,0.858953285,0.999746834,80,0.78204
394,0.869984371,0.999834005,80,0.79696
404,0.880218598,0.999892336,80,0.81092
414,0.889688674,0.999930923,80,0.8237
424,0.898429735,0.999956159,80,0.83548
434,0.906478723,0.999972475,80,0.8466
444,0.913873809,0.999982906,80,0.85716
454,0.920653858,0.999989498,80,0.8676
464,0.926857959,0.999993618,80,0.8765
474,0.932524984,0.999996163,80,0.8863
484,0.937693223,0.999997718,80,0.89566
494,0.942400054,0.999998658,80,0.90248
504,0.946681675,0.999999219,80,0.90986
514,0.950572877,0.99999955,80,0.91656
524,0.954106866,0.999999744,80,0.92296
534,0.957315134,0.999999856,80,0.92898
544,0.960227356,0.99999992,80,0.93444
554,0.962871338,0.999999956,80,0.9393
564,0.965272987,0.999999976,80,0.94384
574,0.967456308,0.999999987,80,0.9479
584,0.969443438,0.999999993,80,0.95184
594,0.97125468,0.999999996,80,0.95552
601,0.972427892,0.999999998,80,0.95756
611,0.973981763,0.999999999,80,0.9605
621,0.975405964,0.999999999,80,0.9637
631,0.976714669,1,80,0.9667
641,0.977920602,1,80,0.96906
651,0.979035148,1,80,0.97128
661,0.980068443,1,80,0.97346
671,0.981029482,1,80,0.97562
681,0.981926216,1,80,0.97732
691,0.982765647,1,80,0.97886
701,0.983553919,1,80,0.98012
711,0.984296409,1,80,0.98166
721,0.984997803,1,80,0.98282
731,0.985662178,1,80,0.98398
741,0.986293069,1,80,0.98512
751,0.986893536,1,80,0.98598
761,0.987466222,1,80,0.98706
771,0.988013407,1,80,0.98798
781,0.988537056,1,80,0.98868
791,0.989038861,1,80,0.98944
801,0.989520283,1,80,0.99024
811,0.989982583,1,80,0.99092
821,0.990426853,1,80,0.99152
831,0.990854041,1,80,0.9921
841,0.991264974,1,80,0.99288
851,0.99166038,1,80,0.99332
861,0.992040903,1,80,0.99368
871,0.992407114,1,80,0.99418
881,0.992759532,1,80,0.99468
891,0.993098624,1,80,0.99494
901,0.993424823,1,80,0.99534
911,0.993738529,1,80,0.99566
921,0.994040117,1,80,0.99606
931,0.994329942,1,80,0.99638
941,0.994608343,1,80,0.99684
951,0.994875648,1,80,0.99704
961,0.995132172,1,80,0.99758
971,0.995378223,1,80,0.99796
981,0.995614103,1,80,0.99814
991,0.995840106,1,80,0.99838
4,0.051552959,0.23449921,85,0.03794
14,0.114815724,0.24193842,85,0.07648
24,0.119088954,0.257406861,85,0.08014
34,0.125233251,0.280410228,85,0.08498
44,0.133422281,0.310226295,85,0.09252
54,0.14359202,0.345942559,85,0.09988
64,0.155663614,0.386502567,85,0.11006
74,0.169544417,0.430757637,85,0.12156
84,0.185129197,0.477520472,85,0.13484
94,0.202301497,0.525617185,85,0.14996
104,0.220935104,0.573934646,85,0.16644
114,0.240895626,0.621460594,85,0.18382
124,0.262042136,0.667314728,85,0.20172
134,0.284228852,0.710769787,85,0.22188
144,0.307306833,0.751262455,85,0.24166
154,0.33112566,0.788394656,85,0.26304
164,0.355535074,0.821926406,85,0.2833
174,0.380386554,0.851761839,85,0.30628
184,0.405534799,0.877930232,85,0.32786
194,0.430839106,0.90056396,85,0.3494
204,0.456164626,0.919875169,85,0.372
214,0.481383478,0.936132777,85,0.39498
224,0.506375714,0.949641064,85,0.418
234,0.531030125,0.960720798,85,0.44088
244,0.555244893,0.969693458,85,0.4631
254,0.578928076,0.976868825,85,0.48628
264,0.601997932,0.982535883,85,0.508
274,0.624383094,0.98695683,85,0.52938
284,0.646022596,0.990363767,85,0.5504
294,0.666865755,0.992957627,85,0.57226
304,0.686871937,0.994908821,85,0.59358
314,0.706010206,0.996359129,85,0.6137
324,0.724258869,0.997424392,85,0.63356
334,0.741604945,0.998197638,85,0.65348
344,0.758043556,0.998752353,85,0.67142
354,0.773577278,0.999145663,85,0.69136
364,0.788215433,0.999421299,85,0.70866
374,0.801973376,0.999612237,85,0.725
384,0.814871757,0.99974298,85,0.74094
394,0.826935793,0.999831479,85,0.75604
404,0.838194541,0.999890698,85,0.77004
414,0.848680211,0.999929872,85,0.78348
424,0.858427491,0.999955491,85,0.79792
434,0.867472921,0.999972056,85,0.81018
444,0.875854309,0.999982646,85,0.8232
454,0.883610195,0.999989338,85,0.8346
464,0.89077936,0.999993521,85,0.84584
474,0.8974004,0.999996105,85,0.85494
484,0.903511337,0.999997684,85,0.86414
494,0.909149302,0.999998637,85,0.87276
504,0.914350249,0.999999207,85,0.88144
514,0.919148738,0.999999544,85,0.8891
524,0.923577748,0.99999974,85,0.89628
534,0.927668548,0.999999854,85,0.90248
544,0.931450596,0.999999918,85,0.90916
554,0.934951482,0.999999955,85,0.91492
564,0.9381969,0.999999975,85,0.92
574,0.94121065,0.999999987,85,0.9246
584,0.944014662,0.999999993,85,0.92942
594,0.946629044,0.999999996,85,0.93364
601,0.948356173,0.999999998,85,0.9368
611,0.950689382,0.999999999,85,0.94046
621,0.952878678,0.999999999,85,0.94408
631,0.954938062,1,85,0.94714
641,0.956880103,1,85,0.94998
651,0.958716036,1,85,0.95298
661,0.960455864,1,85,0.95582
671,0.962108463,1,85,0.95824
681,0.963681678,1,85,0.96074
691,0.965182421,1,85,0.9632
701,0.966616764,1,85,0.96562
711,0.967990028,1,85,0.96766
721,0.969306861,1,85,0.96944
731,0.970571321,1,85,0.97102
741,0.97178694,1,85,0.97282
751,0.972956795,1,85,0.97424
761,0.974083563,1,85,0.97568
771,0.975169577,1,85,0.9771
781,0.976216872,1,85,0.97802
791,0.977227231,1,85,0.97944
801,0.978202218,1,85,0.9807
811,0.979143217,1,85,0.98176
821,0.980051457,1,85,0.98314
831,0.98092804,1,85,0.98436
841,0.981773963,1,85,0.9854
851,0.982590133,1,85,0.98652
861,0.98337739,1,85,0.98728
871,0.984136515,1,85,0.98786
881,0.984868243,1,85,0.989
891,0.985573273,1,85,0.9899
901,0.986252276,1,85,0.99094
911,0.986905902,1,85,0.99164
921,0.987534781,1,85,0.99242
931,0.988139534,1,85,0.99326
941,0.98872077,1,85,0.99372
951,0.989279091,1,85,0.99436
961,0.989815095,1,85,0.99506
971,0.990329373,1,85,0.9958
981,0.990822516,1,85,0.99648
991,0.991295109,1,85,0.99688
4,0.023102135,0.266522739,90,0.02358
14,0.060216951,0.273650741,90,0.04724
24,0.064319517,0.288472084,90,0.04958
34,0.070349038,0.310513141,90,0.05424
44,0.078386462,0.339081899,90,0.06092
54,0.088370137,0.373304029,90,0.0686
64,0.100224124,0.412167273,90,0.07666
74,0.113859193,0.454571001,90,0.08722
84,0.129173983,0.499377586,90,0.09998
94,0.1460563,0.545462248,90,0.11286
104,0.164384531,0.591758424,90,0.12642
114,0.184029161,0.637296198,90,0.14196
124,0.204854339,0.681232096,90,0.15828
134,0.2267195,0.722869281,90,0.17502
144,0.249480988,0.761668002,90,0.19366
154,0.272993669,0.797246835,90,0.21342
164,0.297112506,0.829375836,90,0.2322
174,0.321694068,0.85796315,90,0.25252
184,0.34659796,0.88303683,90,0.27272
194,0.371688141,0.904723711,90,0.29402
204,0.396834133,0.923227066,90,0.3167
214,0.42191209,0.938804562,90,0.33818
224,0.446805727,0.951747751,90,0.35928
234,0.471407097,0.962363982,90,0.38118
244,0.495617216,0.970961285,90,0.40438
254,0.519346532,0.977836481,90,0.427
264,0.542515242,0.983266467,90,0.44938
274,0.565053459,0.987502471,90,0.4716
284,0.586901243,0.990766884,90,0.49336
294,0.60800849,0.993252234,90,0.51424
304,0.628334714,0.995121803,90,0.53592
314,0.647848708,0.996511439,90,0.5566
324,0.66652812,0.997532138,90,0.5763
334,0.68435894,0.998273037,90,0.59604
344,0.701334928,0.998804546,90,0.61608
354,0.717456984,0.999181403,90,0.63524
364,0.732732486,0.999445508,90,0.65262
374,0.747174599,0.999628458,90,0.66946
384,0.760801577,0.999753732,90,0.68678
394,0.773636066,0.999838529,90,0.70324
404,0.785704414,0.99989527,90,0.71894
414,0.797036009,0.999932805,90,0.73296
424,0.807662639,0.999957353,90,0.74776
434,0.817617898,0.999973225,90,0.7605
444,0.826936622,0.999983372,90,0.77342
454,0.83565438,0.999989784,90,0.78534
464,0.843807009,0.999993792,90,0.7967
474,0.851430202,0.999996268,90,0.80728
484,0.858559144,0.999997781,90,0.81684
494,0.865228203,0.999998694,90,0.82654
504,0.871470664,0.99999924,90,0.8359
514,0.877318515,0.999999563,90,0.84516
524,0.882802279,0.999999751,90,0.8534
534,0.887950881,0.99999986,90,0.86132
544,0.892791558,0.999999922,90,0.8686
554,0.897349805,0.999999957,90,0.87558
564,0.901649349,0.999999977,90,0.88148
574,0.905712148,0.999999987,90,0.88832
584,0.909558419,0.999999993,90,0.89466
594,0.913206679,0.999999996,90,0.90048
601,0.915651748,0.999999998,90,0.9039
611,0.919001289,0.999999999,90,0.90916
621,0.922194849,0.999999999,90,0.91382
631,0.925245276,1,90,0.91818
641,0.928164094,1,90,0.9227
651,0.930961594,1,90,0.9267
661,0.933646939,1,90,0.9308
671,0.936228251,1,90,0.9344
681,0.938712716,1,90,0.938
691,0.941106666,1,90,0.94134
701,0.943415677,1,90,0.94464
711,0.945644641,1,90,0.94748
721,0.947797853,1,90,0.95024
731,0.949879078,1,90,0.95296
741,0.95189162,1,90,0.95568
751,0.953838383,1,90,0.9578
761,0.955721923,1,90,0.96016
771,0.957544502,1,90,0.96206
781,0.959308131,1,90,0.96414
791,0.961014609,1,90,0.96628
801,0.962665559,1,90,0.96836
811,0.964262458,1,90,0.97012
821,0.965806662,1,90,0.9722
831,0.967299433,1,90,0.9736
841,0.968741953,1,90,0.97542
851,0.970135346,1,90,0.97696
861,0.971480689,1,90,0.97848
871,0.972779024,1,90,0.97986
881,0.974031365,1,90,0.9814
891,0.975238712,1,90,0.98278
901,0.976402051,1,90,0.98434
911,0.977522362,1,90,0.98546
921,0.978600619,1,90,0.9868
931,0.979637797,1,90,0.9882
941,0.980634871,1,90,0.98956
951,0.981592818,1,90,0.99066
961,0.982512617,1,90,0.9916
971,0.983395248,1,90,0.99258
981,0.984241694,1,90,0.99356
991,0.985052937,1,90,0.99442
4,0.010580361,0.343681451,95,0.02086
14,0.028345403,0.350059618,95,0.0335
24,0.032093349,0.363321817,95,0.03656
34,0.037691462,0.383044248,95,0.0403
44,0.045155713,0.408607694,95,0.0459
54,0.054430502,0.439229801,95,0.0534
64,0.06544733,0.474004794,95,0.0615
74,0.0781257,0.51194783,95,0.0711
84,0.092374152,0.552040951,95,0.08274
94,0.108091429,0.593277701,95,0.0939
104,0.125167744,0.634703715,95,0.106
114,0.143486137,0.675451108,95,0.12128
124,0.162923885,0.714765134,95,0.13678
134,0.183353952,0.752022263,95,0.15316
144,0.204646443,0.786739522,95,0.17106
154,0.226670058,0.818575612,95,0.1887
164,0.249293496,0.847324778,95,0.20786
174,0.272386818,0.872904828,95,0.2272
184,0.295822721,0.895340862,95,0.24688
194,0.319477732,0.914746375,95,0.26658
204,0.343233286,0.931303255,95,0.28754
214,0.366976692,0.945242064,95,0.30926
224,0.390601965,0.956823684,95,0.32954
234,0.41401053,0.966323132,95,0.3518
244,0.437111784,0.974016036,95,0.37312
254,0.459823519,0.98016799,95,0.3955
264,0.482072215,0.985026764,95,0.41708
274,0.50379319,0.988817158,95,0.43792
284,0.524930634,0.991738169,95,0.4597
294,0.545437519,0.99396207,95,0.48122
304,0.5652754,0.995634968,95,0.50066
314,0.584414127,0.996878421,95,0.5193
324,0.602831462,0.997791747,95,0.53912
334,0.62051263,0.998454706,95,0.55746
344,0.637449808,0.998930303,95,0.57486
354,0.653641572,0.999267516,95,0.5919
364,0.669092302,0.999503838,95,0.6096
374,0.683811574,0.999667543,95,0.62654
384,0.697813536,0.999779638,95,0.64394
394,0.711116291,0.999855515,95,0.65928
404,0.723741284,0.999906287,95,0.67448
414,0.735712709,0.999939874,95,0.68872
424,0.747056947,0.99996184,95,0.70368
434,0.757802032,0.999976042,95,0.71656
444,0.767977154,0.999985121,95,0.72986
454,0.777612203,0.999990859,95,0.742
464,0.786737362,0.999994445,95,0.75372
474,0.795382732,0.999996661,95,0.76512
484,0.803578019,0.999998014,95,0.7753
494,0.811352251,0.999998832,95,0.78596
504,0.818733548,0.99999932,95,0.79652
514,0.825748932,0.999999609,95,0.80614
524,0.832424174,0.999999777,95,0.81426
534,0.838783681,0.999999874,95,0.82196
544,0.844850418,0.99999993,95,0.82984
554,0.850645854,0.999999961,95,0.83754
564,0.856189947,0.999999979,95,0.8451
574,0.86150114,0.999999989,95,0.8522
584,0.866596386,0.999999994,95,0.85914
594,0.87149119,0.999999997,95,0.86594
601,0.874805897,0.999999998,95,0.8707
611,0.879391608,0.999999999,95,0.87612
621,0.883811953,0.999999999,95,0.88166
631,0.888077617,1,95,0.8871
641,0.892198172,1,95,0.89214
651,0.896182154,1,95,0.89694
661,0.900037154,1,95,0.90154
671,0.9037699,1,95,0.90652
681,0.907386346,1,95,0.91162
691,0.910891749,1,95,0.9163
701,0.914290744,1,95,0.92034
711,0.917587424,1,95,0.92406
721,0.920785399,1,95,0.92798
731,0.923887868,1,95,0.93136
741,0.926897669,1,95,0.93496
751,0.929817336,1,95,0.93822
761,0.932649147,1,95,0.94102
771,0.935395163,1,95,0.944
781,0.938057269,1,95,0.94728
791,0.940637206,1,95,0.94978
801,0.943136602,1,95,0.95262
811,0.945556994,1,95,0.95578
821,0.947899852,1,95,0.95866
831,0.950166595,1,95,0.96114
841,0.95235861,1,95,0.9639
851,0.954477261,1,95,0.96612
861,0.956523901,1,95,0.96836
871,0.958499881,1,95,0.97066
881,0.960406553,1,95,0.9726
891,0.96224528,1,95,0.97476
901,0.964017433,1,95,0.9775
911,0.965724399,1,95,0.97952
921,0.967367578,1,95,0.9819
931,0.968948385,1,95,0.98354
941,0.970468251,1,95,0.98494
951,0.971928619,1,95,0.98712
961,0.973330945,1,95,0.9888
971,0.974676695,1,95,0.99024
981,0.975967344,1,95,0.99176
991,0.977204372,1,95,0.99294
4,0.004297417,0.452928192,100,0.02572
14,0.01223429,0.458244689,100,0.03174
24,0.015514193,0.469299345,100,0.03462
34,0.020456382,0.485738901,100,0.03868
44,0.027048549,0.507047213,100,0.04356
54,0.035243752,0.532572153,100,0.05046
64,0.044984153,0.561558715,100,0.05886
74,0.056201763,0.593185987,100,0.06896
84,0.068819312,0.626605454,100,0.08008
94,0.082751219,0.660978189,100,0.09124
104,0.097904656,0.695508684,100,0.10314
114,0.114180679,0.729473516,100,0.11682
124,0.131475409,0.762243572,100,0.13032
134,0.149681244,0.793299109,100,0.14458
144,0.168688078,0.822237547,100,0.1607
154,0.188384511,0.848774398,100,0.17782
164,0.208659034,0.872738155,100,0.19556
174,0.22940116,0.894060307,100,0.21308
184,0.250502502,0.912761777,100,0.23044
194,0.271857763,0.928937168,100,0.25024
204,0.293365653,0.942738092,100,0.27004
214,0.314929688,0.954356733,100,0.28934
224,0.336458899,0.964010548,100,0.30852
234,0.357868419,0.971928776,100,0.32826
244,0.379079964,0.978341166,100,0.34776
254,0.400022187,0.983469104,100,0.367
264,0.420630932,0.987519117,100,0.3848
274,0.440849365,0.990678585,100,0.4048
284,0.460628008,0.993113382,100,0.42506
294,0.479924673,0.994967107,100,0.44462
304,0.498704302,0.996361545,100,0.46268
314,0.516938733,0.99739802,100,0.48136
324,0.534606388,0.998159319,100,0.4986
334,0.551691906,0.998711926,100,0.5166
344,0.568185724,0.999108358,100,0.53328
354,0.584083618,0.999389441,100,0.54982
364,0.599386221,0.999586426,100,0.5669
374,0.614098515,0.999722882,100,0.58308
384,0.628229323,0.999816318,100,0.5997
394,0.641790795,0.999879565,100,0.61526
404,0.654797905,0.999921886,100,0.62958
