Time,P1,P2,IMe,IMh,Tint,Rec
754,0.94557101,0.975015903,1.568645429,117.8956585,304.7882402,0.90005
764,0.948468995,0.9761425,1.568645429,117.8956585,304.7882402,0.90395
774,0.950767737,0.976930044,1.568645429,117.8956585,304.7882402,0.90765
784,0.953531162,0.977610364,1.568645429,117.8956585,304.7882402,0.91145
794,0.95650634,0.978604015,1.568645429,117.8956585,304.7882402,0.91525
804,0.958219199,0.979538997,1.568645429,117.8956585,304.7882402,0.9182
814,0.961198751,0.979991018,1.568645429,117.8956585,304.7882402,0.9218
824,0.963241198,0.980648613,1.568645429,117.8956585,304.7882402,0.9248
834,0.965402073,0.981341067,1.568645429,117.8956585,304.7882402,0.9276
844,0.966685316,0.981942049,1.568645429,117.8956585,304.7882402,0.93035
854,0.96816983,0.982677959,1.568645429,117.8956585,304.7882402,0.9331
864,0.970817432,0.983431673,1.568645429,117.8956585,304.7882402,0.936
874,0.972582673,0.984009561,1.568645429,117.8956585,304.7882402,0.93885
884,0.974265845,0.984217715,1.568645429,117.8956585,304.7882402,0.94205
894,0.977066732,0.984549023,1.568645429,117.8956585,304.7882402,0.9453
904,0.978210536,0.9850591,1.568645429,117.8956585,304.7882402,0.94695
914,0.978957897,0.985504669,1.568645429,117.8956585,304.7882402,0.94935
924,0.979936958,0.98605176,1.568645429,117.8956585,304.7882402,0.95105
934,0.981372558,0.986446692,1.568645429,117.8956585,304.7882402,0.95325
944,0.982918606,0.986911347,1.568645429,117.8956585,304.7882402,0.95565
954,0.984001806,0.987150605,1.568645429,117.8956585,304.7882402,0.95735
964,0.985246281,0.987919048,1.568645429,117.8956585,304.7882402,0.959425
974,0.986258063,0.988214752,1.568645429,117.8956585,304.7882402,0.961
984,0.986836044,0.988825268,1.568645429,117.8956585,304.7882402,0.9625
994,0.987477722,0.989080371,1.568645429,117.8956585,304.7882402,0.96365
4,0.575284059,0.453858837,0.838628935,22.06959967,739.6764088,0.3131
