Time,P1,P2,IMe,IMh,Tint,Rec
4,0.001096391,0.681703428,1.568645429,117.8956585,304.7882402,0.0013
14,0.002524234,0.688508435,1.568645429,117.8956585,304.7882402,0.002
24,0.004827031,0.695749924,1.568645429,117.8956585,304.7882402,0.0038
34,0.00808463,0.704298774,1.568645429,117.8956585,304.7882402,0.0063
44,0.011904767,0.71477121,1.568645429,117.8956585,304.7882402,0.00945
54,0.016034911,0.72817917,1.568645429,117.8956585,304.7882402,0.0127
64,0.021398613,0.741276341,1.568645429,117.8956585,304.7882402,0.01755
74,0.029296658,0.753131474,1.568645429,117.8956585,304.7882402,0.02355
84,0.036385101,0.769304136,1.568645429,117.8956585,304.7882402,0.02955
94,0.043878827,0.783996719,1.568645429,117.8956585,304.7882402,0.0363
104,0.051827557,0.796400092,1.568645429,117.8956585,304.7882402,0.0433
114,0.061344657,0.813314115,1.568645429,117.8956585,304.7882402,0.05175
124,0.072102796,0.825869143,1.568645429,117.8956585,304.7882402,0.0609
134,0.08247064,0.840485531,1.568645429,117.8956585,304.7882402,0.0699
144,0.094970051,0.852662251,1.568645429,117.8956585,304.7882402,0.08105
154,0.104063011,0.862181648,1.568645429,117.8956585,304.7882402,0.0903
164,0.117228881,0.873099779,1.568645429,117.8956585,304.7882402,0.1019
174,0.130590445,0.88207148,1.568645429,117.8956585,304.7882402,0.11355
184,0.143365692,0.891656954,1.568645429,117.8956585,304.7882402,0.12515
194,0.157149109,0.901099737,1.568645429,117.8956585,304.7882402,0.1372
204,0.170776837,0.910614307,1.568645429,117.8956585,304.7882402,0.1494
214,0.184659657,0.916906776,1.568645429,117.8956585,304.7882402,0.16165
224,0.19756916,0.923892717,1.568645429,117.8956585,304.7882402,0.17335
234,0.212089952,0.927924187,1.568645429,117.8956585,304.7882402,0.187
244,0.225508169,0.932320899,1.568645429,117.8956585,304.7882402,0.20015
254,0.241510729,0.936318709,1.568645429,117.8956585,304.7882402,0.21435
264,0.256270657,0.938777102,1.568645429,117.8956585,304.7882402,0.22885
274,0.271954283,0.941221672,1.568645429,117.8956585,304.7882402,0.24365
284,0.289245644,0.944709518,1.568645429,117.8956585,304.7882402,0.2596
294,0.304198737,0.947738648,1.568645429,117.8956585,304.7882402,0.27305
304,0.31871436,0.950631652,1.568645429,117.8956585,304.7882402,0.2876
314,0.333606058,0.9525488,1.568645429,117.8956585,304.7882402,0.3014
324,0.351300116,0.954496318,1.568645429,117.8956585,304.7882402,0.3173
334,0.36704991,0.955845762,1.568645429,117.8956585,304.7882402,0.3325
344,0.379744492,0.957253777,1.568645429,117.8956585,304.7882402,0.3455
354,0.396939512,0.958917588,1.568645429,117.8956585,304.7882402,0.3613
364,0.407704134,0.960276178,1.568645429,117.8956585,304.7882402,0.3733
374,0.422742726,0.961421553,1.568645429,117.8956585,304.7882402,0.38685
384,0.435271359,0.963139122,1.568645429,117.8956585,304.7882402,0.3992
394,0.44969148,0.964526381,1.568645429,117.8956585,304.7882402,0.4124
404,0.463305039,0.964999507,1.568645429,117.8956585,304.7882402,0.42635
414,0.475866492,0.966442103,1.568645429,117.8956585,304.7882402,0.439
424,0.486688899,0.967082192,1.568645429,117.8956585,304.7882402,0.45035
434,0.498455753,0.967854506,1.568645429,117.8956585,304.7882402,0.46175
444,0.511683372,0.968579537,1.568645429,117.8956585,304.7882402,0.4751
454,0.524556302,0.969050114,1.568645429,117.8956585,304.7882402,0.4879
464,0.537672648,0.970250539,1.568645429,117.8956585,304.7882402,0.50075
474,0.550037628,0.97068077,1.568645429,117.8956585,304.7882402,0.51325
484,0.561992889,0.971339207,1.568645429,117.8956585,304.7882402,0.5244
494,0.574274075,0.972199893,1.568645429,117.8956585,304.7882402,0.5374
504,0.585701087,0.972855158,1.568645429,117.8956585,304.7882402,0.5489
514,0.596215987,0.973511709,1.568645429,117.8956585,304.7882402,0.5595
524,0.607491783,0.974377755,1.568645429,117.8956585,304.7882402,0.5707
534,0.61896157,0.975381214,1.568645429,117.8956585,304.7882402,0.5819
544,0.631589471,0.976840458,1.568645429,117.8956585,304.7882402,0.59365
554,0.642536443,0.977475004,1.568645429,117.8956585,304.7882402,0.6049
564,0.652556423,0.977816377,1.568645429,117.8956585,304.7882402,0.6157
574,0.663554748,0.978355393,1.568645429,117.8956585,304.7882402,0.6261
584,0.673802324,0.979238015,1.568645429,117.8956585,304.7882402,0.63675
594,0.68532057,0.979669948,1.568645429,117.8956585,304.7882402,0.64845
604,0.695956989,0.980381294,1.568645429,117.8956585,304.7882402,0.6593
614,0.706631157,0.980758089,1.568645429,117.8956585,304.7882402,0.6705
624,0.715249833,0.980940893,1.568645429,117.8956585,304.7882402,0.6798
634,0.725223981,0.981641139,1.568645429,117.8956585,304.7882402,0.6891
644,0.734843051,0.982003004,1.568645429,117.8956585,304.7882402,0.69885
654,0.742935324,0.982375043,1.568645429,117.8956585,304.7882402,0.70785
664,0.75119595,0.983169432,1.568645429,117.8956585,304.7882402,0.7167
674,0.76075619,0.984075843,1.568645429,117.8956585,304.7882402,0.7264
