Rec,Time,P1,P2
0.838,158,0.954753163,0.78939903
0.841,159,0.955301392,0.79068123
0.843,160,0.955841622,0.791953064
0.844,161,0.956373991,0.793214635
0.846,162,0.956898637,0.794466046
0.849,163,0.957415694,0.7957074
0.851,164,0.957925292,0.796938796
0.854,165,0.95842756,0.798160336
0.855,166,0.958922624,0.799372117
0.856,167,0.959410606,0.800574238
0.857,168,0.959891628,0.801766795
0.858,169,0.960365808,0.802949885
0.859,170,0.960833261,0.804123601
0.859,171,0.961294101,0.805288039
0.861,172,0.961748439,0.806443291
0.862,173,0.962196384,0.807589448
0.863,174,0.962638043,0.808726603
0.866,175,0.963073522,0.809854843
0.868,176,0.963502921,0.810974259
0.869,177,0.963926343,0.812084939
0.869,178,0.964343885,0.813186969
0.871,179,0.964755645,0.814280435
0.873,180,0.965161717,0.815365423
0.873,181,0.965562194,0.816442016
0.874,182,0.965957168,0.817510298
0.874,183,0.966346729,0.818570352
0.874,184,0.966730963,0.819622257
0.875,185,0.967109957,0.820666096
0.876,186,0.967483796,0.821701947
0.876,187,0.967852562,0.822729889
0.878,188,0.968216337,0.82375
0.879,189,0.9685752,0.824762357
0.879,190,0.96892923,0.825767035
0.88,191,0.969278503,0.82676411
0.88,192,0.969623096,0.827753656
0.881,193,0.969963081,0.828735746
0.882,194,0.970298531,0.829710454
0.884,195,0.970629518,0.83067785
0.884,196,0.970956112,0.831638006
0.884,197,0.971278381,0.832590992
0.886,198,0.971596393,0.833536877
0.886,199,0.971910214,0.83447573
0.886,200,0.972219909,0.835407618
0.886,201,0.972525541,0.836332608
0.887,202,0.972827174,0.837250767
0.888,203,0.973124868,0.83816216
0.889,204,0.973418685,0.839066852
0.889,205,0.973708684,0.839964905
0.89,206,0.973994922,0.840856385
0.892,207,0.974277458,0.841741353
0.893,208,0.974556347,0.842619871
0.894,209,0.974831644,0.843491999
0.895,210,0.975103405,0.844357799
0.895,211,0.975371681,0.84521733
0.895,212,0.975636526,0.84607065
0.895,213,0.975897991,0.846917819
0.895,214,0.976156127,0.847758893
0.896,215,0.976410983,0.84859393
0.898,216,0.976662608,0.849422986
0.899,217,0.97691105,0.850246117
0.899,218,0.977156356,0.851063377
0.9,219,0.977398572,0.851874821
0.9,220,0.977637744,0.852680503
0.901,221,0.977873918,0.853480476
0.902,222,0.978107136,0.854274792
0.902,223,0.978337442,0.855063504
0.903,224,0.978564878,0.855846662
0.903,225,0.978789487,0.856624318
0.905,226,0.979011309,0.857396521
0.905,227,0.979230385,0.858163322
0.905,228,0.979446755,0.858924769
0.905,229,0.979660457,0.859680911
0.907,230,0.97987153,0.860431796
0.907,231,0.980080012,0.861177471
0.907,232,0.98028594,0.861917983
0.907,233,0.98048935,0.862653379
0.909,234,0.980690279,0.863383704
0.909,235,0.980888761,0.864109003
0.909,236,0.981084831,0.864829323
0.909,237,0.981278525,0.865544705
0.909,238,0.981469874,0.866255196
0.909,239,0.981658912,0.866960837
0.91,240,0.981845673,0.867661673
0.911,241,0.982030187,0.868357744
0.911,242,0.982212486,0.869049093
0.911,243,0.982392601,0.869735762
0.912,244,0.982570563,0.870417792
0.914,245,0.982746402,0.871095223
0.915,246,0.982920147,0.871768094
0.916,247,0.983091827,0.872436447
0.916,248,0.983261471,0.873100319
0.916,249,0.983429107,0.873759751
0.916,250,0.983594762,0.874414779
0.916,251,0.983758464,0.875065443
0.916,252,0.98392024,0.875711779
0.916,253,0.984080115,0.876353825
0.917,254,0.984238116,0.876991617
0.918,255,0.984394269,0.877625193
0.919,256,0.984548598,0.878254587
0.92,257,0.984701129,0.878879835
0.922,258,0.984851885,0.879500973
0.923,259,0.98500089,0.880118035
0.923,260,0.985148169,0.880731056
0.924,261,0.985293745,0.881340069
0.924,262,0.98543764,0.881945109
0.924,263,0.985579877,0.882546209
0.924,264,0.985720478,0.883143401
0.925,265,0.985859465,0.883736719
0.925,266,0.985996859,0.884326194
0.925,267,0.986132682,0.884911859
0.925,268,0.986266954,0.885493745
0.925,269,0.986399697,0.886071884
0.926,270,0.98653093,0.886646305
0.926,271,0.986660673,0.887217041
0.926,272,0.986788945,0.887784122
0.926,273,0.986915767,0.888347576
0.926,274,0.987041157,0.888907435
0.927,275,0.987165134,0.889463726
0.927,276,0.987287717,0.890016481
0.927,277,0.987408922,0.890565726
0.928,278,0.98752877,0.891111491
0.93,279,0.987647276,0.891653804
0.932,280,0.987764459,0.892192692
0.932,281,0.987880336,0.892728184
0.932,282,0.987994923,0.893260307
0.932,283,0.988108237,0.893789087
0.932,284,0.988220294,0.894314551
0.933,285,0.988331112,0.894836727
0.933,286,0.988440705,0.895355639
0.933,287,0.988549089,0.895871315
0.933,288,0.988656279,0.89638378
0.934,289,0.988762292,0.896893058
0.934,290,0.988867141,0.897399177
0.934,291,0.988970842,0.897902159
0.934,292,0.989073409,0.898402031
0.934,293,0.989174857,0.898898816
0.935,294,0.989275199,0.899392539
0.935,295,0.98937445,0.899883223
0.936,296,0.989472623,0.900370893
0.936,297,0.989569732,0.900855572
0.936,298,0.98966579,0.901337283
0.937,299,0.989760811,0.901816049
0.937,300,0.989854807,0.902291893
0.937,301,0.98994779,0.902764838
0.938,302,0.990039775,0.903234905
0.938,303,0.990130773,0.903702118
0.939,304,0.990220795,0.904166497
0.939,305,0.990309856,0.904628065
0.939,306,0.990397965,0.905086843
0.939,307,0.990485136,0.905542853
0.939,308,0.990571379,0.905996115
0.939,309,0.990656706,0.906446651
0.939,310,0.990741129,0.906894481
0.94,311,0.990824657,0.907339625
0.941,312,0.990907303,0.907782104
0.941,313,0.990989077,0.908221939
0.942,314,0.991069989,0.908659148
0.942,315,0.991150051,0.909093752
0.942,316,0.991229272,0.90952577
