Rec,Time,P1,P2
0.187,4,0.325456795,0.26161186
0.206,5,0.351309945,0.29881374
0.231,6,0.368189165,0.324259453
0.253,7,0.380474255,0.341838236
0.264,8,0.390467575,0.354181064
0.276,9,0.399386493,0.363018007
0.285,10,0.407872753,0.369486377
0.291,11,0.416256686,0.374341312
0.297,12,0.42469773,0.378091113
0.303,13,0.433261124,0.381082958
0.308,14,0.441960706,0.383557348
0.316,15,0.450783178,0.385683049
0.327,16,0.459701984,0.387579836
0.337,17,0.468685231,0.389333501
0.34,18,0.477700159,0.391005922
0.344,19,0.486715567,0.392641915
0.352,20,0.495703045,0.394273969
0.359,21,0.50463749,0.395925562
0.367,22,0.513497223,0.397613516
0.368,23,0.522263869,0.399349693
0.375,24,0.530922117,0.401142229
0.378,25,0.539459431,0.402996448
0.389,26,0.547865734,0.404915535
0.395,27,0.556133107,0.406901049
0.403,28,0.564255503,0.408953313
0.41,29,0.572228483,0.411071706
0.419,30,0.580048985,0.413254895
0.427,31,0.587715111,0.415501016
0.43,32,0.595225947,0.417807806
0.435,33,0.602581404,0.420172721
0.44,34,0.609782079,0.422593013
0.447,35,0.616829132,0.425065806
0.457,36,0.623724192,0.427588144
0.459,37,0.630469262,0.430157037
0.463,38,0.637066647,0.432769493
0.471,39,0.64351889,0.435422543
0.477,40,0.649828719,0.438113265
0.482,41,0.655999001,0.440838796
0.488,42,0.662032702,0.443596347
0.498,43,0.667932856,0.446383211
0.5,44,0.673702539,0.44919677
0.503,45,0.679344843,0.452034499
0.508,46,0.684862862,0.454893969
0.516,47,0.690259672,0.45777285
0.518,48,0.695538322,0.46066891
0.52,49,0.700701822,0.463580015
0.523,50,0.705753135,0.466504129
0.527,51,0.710695168,0.469439312
0.529,52,0.715530774,0.472383719
0.533,53,0.72026274,0.475335594
0.537,54,0.72489379,0.478293274
0.541,55,0.729426578,0.481255179
0.548,56,0.733863693,0.484219815
0.551,57,0.738207653,0.487185769
0.554,58,0.742460906,0.490151704
0.554,59,0.746625834,0.49311636
0.556,60,0.750704747,0.496078547
0.56,61,0.754699891,0.499037145
0.562,62,0.758613444,0.501991099
0.565,63,0.762447518,0.50493942
0.57,64,0.766204163,0.507881174
0.576,65,0.769885367,0.51081549
0.577,66,0.773493056,0.513741549
0.579,67,0.777029098,0.516658584
0.583,68,0.780495304,0.519565879
0.586,69,0.783893429,0.522462765
0.586,70,0.787225173,0.525348618
0.593,71,0.790492187,0.528222857
0.594,72,0.793696069,0.531084942
0.595,73,0.796838369,0.53393437
0.596,74,0.799920588,0.536770676
0.598,75,0.802944185,0.53959343
0.601,76,0.805910572,0.542402235
0.603,77,0.808821119,0.545196724
0.608,78,0.811677155,0.54797656
0.609,79,0.81447997,0.550741435
0.61,80,0.817230815,0.553491067
0.613,81,0.819930904,0.556225199
0.616,82,0.822581415,0.558943596
0.62,83,0.825183493,0.561646049
0.627,84,0.827738248,0.564332367
0.628,85,0.830246759,0.56700238
0.631,86,0.832710074,0.569655939
0.635,87,0.83512921,0.572292908
0.636,88,0.837505156,0.574913172
0.637,89,0.839838874,0.577516631
0.638,90,0.842131298,0.580103199
0.644,91,0.844383336,0.582672805
0.648,92,0.846595872,0.585225389
0.654,93,0.848769763,0.587760906
0.656,94,0.850905846,0.590279323
0.657,95,0.853004934,0.592780615
0.659,96,0.855067817,0.595264771
0.66,97,0.857095266,0.597731787
0.661,98,0.85908803,0.600181669
0.662,99,0.861046838,0.602614432
0.669,100,0.862972402,0.605030098
0.671,101,0.864865412,0.607428697
0.672,102,0.866726545,0.609810267
0.674,103,0.868556455,0.612174851
0.677,104,0.870355784,0.614522499
0.681,105,0.872125155,0.616853266
0.684,106,0.873865177,0.619167213
0.687,107,0.875576442,0.621464407
0.689,108,0.877259528,0.623744917
0.691,109,0.878914999,0.626008817
0.691,110,0.880543405,0.628256188
0.693,111,0.882145282,0.63048711
0.694,112,0.883721155,0.63270167
0.694,113,0.885271533,0.634899956
0.695,114,0.886796916,0.63708206
0.695,115,0.88829779,0.639248076
0.696,116,0.889774629,0.641398102
0.698,117,0.891227899,0.643532235
0.699,118,0.892658051,0.645650578
0.702,119,0.894065528,0.647753233
0.703,120,0.895450763,0.649840304
0.705,121,0.896814178,0.651911897
0.707,122,0.898156184,0.65396812
0.709,123,0.899477185,0.656009082
0.71,124,0.900777575,0.658034891
0.715,125,0.902057739,0.660045658
0.718,126,0.903318053,0.662041494
0.719,127,0.904558885,0.664022512
0.721,128,0.905780594,0.665988824
0.724,129,0.906983533,0.667940542
0.727,130,0.908168044,0.669877781
0.727,131,0.909334466,0.671800653
0.729,132,0.910483126,0.673709272
0.732,133,0.911614347,0.675603753
0.735,134,0.912728443,0.677484209
0.736,135,0.913825723,0.679350754
0.738,136,0.914906487,0.681203503
0.739,137,0.915971033,0.683042567
0.74,138,0.917019647,0.684868062
0.742,139,0.918052613,0.6866801
0.742,140,0.919070208,0.688478794
0.744,141,0.920072702,0.690264256
0.747,142,0.921060361,0.692036598
0.747,143,0.922033444,0.693795933
0.749,144,0.922992207,0.69554237
0.753,145,0.923936897,0.697276021
0.754,146,0.92486776,0.698996996
0.755,147,0.925785033,0.700705404
0.757,148,0.926688952,0.702401353
0.759,149,0.927579746,0.704084952
0.76,150,0.928457639,0.705756309
0.761,151,0.929322852,0.707415529
0.761,152,0.9301756,0.70906272
0.762,153,0.931016095,0.710697986
0.763,154,0.931844545,0.712321432
0.765,155,0.932661152,0.713933163
0.767,156,0.933466115,0.71553328
0.767,157,0.93425963,0.717121886
0.769,158,0.935041889,0.718699084
0.771,159,0.935813078,0.720264972
