Rec,Time,P1,P2
0.149,4,0.248058236,0.196735718
0.164,5,0.269103342,0.226483051
0.175,6,0.283183305,0.246834983
0.185,7,0.293810031,0.260903432
0.194,8,0.302819621,0.270794514
0.197,9,0.311171422,0.277894081
0.203,10,0.319359541,0.283113946
0.214,11,0.327627007,0.287060157
0.223,12,0.336079992,0.290141143
0.227,13,0.344750246,0.292636212
0.237,14,0.353629927,0.294739075
0.238,15,0.362691282,0.296585794
0.24,16,0.371897814,0.298272974
0.246,17,0.381210573,0.299869791
0.253,18,0.390591613,0.301426069
0.256,19,0.400005781,0.302977778
0.261,20,0.409421543,0.304550855
0.263,21,0.418811237,0.306163871
0.268,22,0.428151017,0.307829946
0.273,23,0.437420618,0.30955812
0.28,24,0.44660304,0.311354365
0.283,25,0.455684203,0.313222326
0.287,26,0.464652605,0.315163881
0.298,27,0.473498989,0.317179562
0.301,28,0.482216044,0.319268876
0.307,29,0.490798131,0.321430555
0.314,30,0.499241041,0.323662745
0.32,31,0.507541784,0.325963157
0.324,32,0.515698397,0.328329189
0.328,33,0.523709787,0.330758009
0.331,34,0.531575588,0.333246637
0.336,35,0.539296042,0.335791999
0.34,36,0.546871894,0.338390975
0.345,37,0.554304307,0.341040433
0.354,38,0.561594779,0.343737257
0.363,39,0.568745088,0.346478374
0.366,40,0.57575723,0.349260766
0.374,41,0.582633374,0.352081489
0.379,42,0.589375825,0.354937677
0.385,43,0.595986988,0.357826556
0.392,44,0.602469344,0.360745443
0.397,45,0.608825419,0.363691755
0.402,46,0.615057773,0.366663007
0.406,47,0.621168976,0.369656818
0.413,48,0.627161602,0.372670903
0.42,49,0.633038209,0.375703082
0.425,50,0.638801339,0.378751272
0.426,51,0.644453501,0.381813486
0.431,52,0.649997173,0.384887835
0.436,53,0.655434794,0.387972518
0.438,54,0.660768757,0.391065829
0.442,55,0.666001413,0.394166144
0.448,56,0.671135061,0.397271928
0.451,57,0.676171955,0.400381724
0.456,58,0.681114294,0.403494152
0.46,59,0.685964228,0.406607911
0.464,60,0.690723855,0.409721769
0.471,61,0.695395222,0.412834564
0.474,62,0.699980326,0.415945198
0.476,63,0.70448111,0.41905264
0.487,64,0.708899471,0.422155916
0.489,65,0.713237254,0.42525411
0.49,66,0.717496258,0.428346364
0.492,67,0.721678233,0.431431868
0.495,68,0.725784885,0.434509864
0.5,69,0.729817873,0.437579642
0.507,70,0.733778813,0.440640536
0.509,71,0.737669279,0.443691924
0.512,72,0.741490801,0.446733223
0.514,73,0.745244871,0.449763891
0.519,74,0.748932941,0.45278342
0.522,75,0.752556425,0.45579134
0.526,76,0.756116698,0.458787212
0.532,77,0.759615102,0.461770629
0.537,78,0.763052943,0.464741214
0.541,79,0.766431492,0.467698618
0.545,80,0.769751989,0.470642519
0.548,81,0.77301564,0.473572619
0.551,82,0.776223623,0.476488646
0.554,83,0.779377084,0.479390349
0.555,84,0.782477141,0.482277499
0.56,85,0.785524882,0.485149888
0.563,86,0.788521371,0.488007325
0.566,87,0.791467644,0.49084964
0.569,88,0.79436471,0.493676679
0.572,89,0.797213555,0.496488302
0.573,90,0.800015141,0.499284388
0.576,91,0.802770405,0.502064827
0.577,92,0.805480263,0.504829525
0.581,93,0.808145609,0.507578399
0.583,94,0.810767313,0.510311381
0.585,95,0.813346228,0.51302841
0.587,96,0.815883185,0.515729439
0.588,97,0.818378996,0.51841443
0.592,98,0.820834453,0.521083354
0.593,99,0.82325033,0.523736194
0.594,100,0.825627385,0.526372936
0.597,101,0.827966356,0.528993578
0.601,102,0.830267966,0.531598125
0.606,103,0.83253292,0.534186588
0.609,104,0.834761908,0.536758984
0.613,105,0.836955605,0.539315338
0.613,106,0.839114671,0.541855678
0.615,107,0.841239748,0.54438004
0.616,108,0.843331469,0.546888464
0.617,109,0.84539045,0.549380995
0.617,110,0.847417293,0.551857681
0.62,111,0.849412588,0.554318576
0.624,112,0.851376912,0.556763737
0.628,113,0.85331083,0.559193225
0.631,114,0.855214895,0.561607102
0.633,115,0.857089646,0.564005437
0.639,116,0.858935614,0.566388298
0.643,117,0.860753314,0.568755758
0.643,118,0.862543256,0.571107892
0.644,119,0.864305934,0.573444777
0.647,120,0.866041835,0.575766492
0.648,121,0.867751434,0.578073117
0.649,122,0.869435197,0.580364736
0.651,123,0.87109358,0.582641433
0.654,124,0.87272703,0.584903294
0.655,125,0.874335985,0.587150405
0.658,126,0.875920873,0.589382854
0.659,127,0.877482113,0.591600732
0.66,128,0.879020119,0.593804128
0.66,129,0.880535291,0.595993134
0.663,130,0.882028027,0.59816784
0.663,131,0.883498711,0.600328341
0.664,132,0.884947724,0.602474727
0.665,133,0.886375438,0.604607095
0.667,134,0.887782216,0.606725536
0.672,135,0.889168416,0.608830146
0.675,136,0.890534388,0.610921018
0.681,137,0.891880475,0.612998248
0.682,138,0.893207014,0.61506193
0.683,139,0.894514334,0.61711216
0.685,140,0.895802758,0.619149032
0.686,141,0.897072605,0.621172641
0.689,142,0.898324185,0.623183082
0.69,143,0.899557803,0.62518045
0.692,144,0.900773759,0.627164838
0.694,145,0.901972345,0.629136342
0.694,146,0.90315385,0.631095056
0.694,147,0.904318556,0.633041073
0.695,148,0.905466739,0.634974486
0.696,149,0.906598673,0.63689539
0.696,150,0.907714623,0.638803876
0.696,151,0.908814851,0.640700038
0.699,152,0.909899613,0.642583966
0.7,153,0.910969163,0.644455754
0.7,154,0.912023745,0.646315491
0.705,155,0.913063605,0.648163269
0.706,156,0.914088978,0.649999177
0.706,157,0.9151001,0.651823305
0.706,158,0.916097199,0.653635743
0.709,159,0.9170805,0.655436578
0.71,160,0.918050225,0.657225899
0.712,161,0.91900659,0.659003794
0.714,162,0.919949809,0.660770349
0.718,163,0.920880091,0.66252565
0.72,164,0.92179764,0.664269784
0.724,165,0.922702659,0.666002835
0.726,166,0.923595344,0.667724888
0.728,167,0.924475892,0.669436026
0.728,168,0.925344492,0.671136334
0.728,169,0.926201332,0.672825893
0.731,170,0.927046597,0.674504786
0.732,171,0.927880466,0.676173095
0.737,172,0.928703117,0.677830899
0.74,173,0.929514726,0.67947828
0.742,174,0.930315462,0.681115317
0.747,175,0.931105495,0.682742088
0.751,176,0.93188499,0.684358672
0.752,177,0.932654109,0.685965147
0.753,178,0.933413011,0.687561589
0.753,179,0.934161855,0.689148076
0.754,180,0.934900792,0.690724682
0.756,181,0.935629976,0.692291483
0.758,182,0.936349554,0.693848553
0.758,183,0.937059673,0.695395967
0.761,184,0.937760476,0.696933798
0.761,185,0.938452105,0.698462117
0.761,186,0.939134697,0.699980998
0.762,187,0.93980839,0.701490511
0.763,188,0.940473318,0.702990727
0.764,189,0.941129611,0.704481717
0.764,190,0.9417774,0.70596355
0.764,191,0.942416811,0.707436294
0.765,192,0.94304797,0.708900019
0.767,193,0.943670999,0.710354792
0.77,194,0.94428602,0.711800681
0.771,195,0.944893151,0.71323775
0.774,196,0.945492509,0.714666068
0.776,197,0.946084209,0.716085699
0.779,198,0.946668363,0.717496708
0.779,199,0.947245083,0.718899159
0.781,200,0.947814478,0.720293116
0.781,201,0.948376654,0.721678641
0.782,202,0.948931719,0.723055799
0.783,203,0.949479775,0.72442465
0.785,204,0.950020924,0.725785256
0.786,205,0.950555268,0.727137678
0.789,206,0.951082903,0.728481976
0.789,207,0.951603929,0.72981821
0.791,208,0.95211844,0.73114644
0.795,209,0.95262653,0.732466724
0.797,210,0.953128291,0.73377912
0.8,211,0.953623815,0.735083686
0.801,212,0.95411319,0.73638048
0.802,213,0.954596505,0.737669558
0.803,214,0.955073846,0.738950976
0.806,215,0.955545299,0.74022479
0.809,216,0.956010947,0.741491055
0.809,217,0.956470872,0.742749827
0.809,218,0.956925155,0.744001158
0.811,219,0.957373877,0.745245103
0.814,220,0.957817116,0.746481716
0.815,221,0.958254948,0.747711048
0.819,222,0.95868745,0.748933153
0.82,223,0.959114697,0.750148082
0.822,224,0.959536762,0.751355887
0.824,225,0.959953718,0.752556618
0.825,226,0.960365636,0.753750327
0.827,227,0.960772586,0.754937063
0.827,228,0.961174636,0.756116875
0.828,229,0.961571856,0.757289814
0.829,230,0.961964312,0.758455928
0.83,231,0.962352069,0.759615265
0.832,232,0.962735193,0.760767873
0.832,233,0.963113747,0.761913799
0.834,234,0.963487794,0.763053092
0.834,235,0.963857395,0.764185797
0.834,236,0.964222613,0.76531196
0.836,237,0.964583506,0.766431629
0.837,238,0.964940133,0.767544847
0.838,239,0.965292553,0.768651661
0.838,240,0.965640823,0.769752114
0.839,241,0.965984998,0.770846252
0.841,242,0.966325135,0.771934118
0.841,243,0.966661288,0.773015755
0.841,244,0.96699351,0.774091208
0.843,245,0.967321855,0.775160518
0.843,246,0.967646375,0.776223729
0.844,247,0.967967121,0.777280882
0.845,248,0.968284143,0.778332019
0.845,249,0.968597491,0.779377182
0.845,250,0.968907215,0.780416411
0.845,251,0.969213362,0.781449747
0.847,252,0.96951598,0.78247723
0.847,253,0.969815115,0.783498902
0.848,254,0.970110815,0.7845148
0.848,255,0.970403124,0.785524965
0.853,256,0.970692087,0.786529436
0.853,257,0.970977748,0.78752825
0.854,258,0.971260151,0.788521448
0.855,259,0.971539338,0.789509066
0.856,260,0.971815352,0.790491142
0.857,261,0.972088233,0.791467714
0.857,262,0.972358024,0.79243882
0.857,263,0.972624763,0.793404494
0.857,264,0.972888491,0.794364775
0.858,265,0.973149247,0.795319699
0.858,266,0.97340707,0.7962693
0.858,267,0.973661996,0.797213616
0.858,268,0.973914065,0.79815268
0.86,269,0.974163312,0.799086529
0.863,270,0.974409774,0.800015197
0.863,271,0.974653487,0.800938718
0.863,272,0.974894486,0.801857127
0.863,273,0.975132806,0.802770457
0.863,274,0.97536848,0.803678742
0.863,275,0.975601543,0.804582016
0.863,276,0.975832029,0.805480311
0.864,277,0.976059969,0.806373661
0.864,278,0.976285396,0.807262097
0.866,279,0.976508342,0.808145653
0.866,280,0.976728839,0.80902436
0.866,281,0.976946916,0.80989825
0.869,282,0.977162606,0.810767354
0.87,283,0.977375937,0.811631704
0.87,284,0.97758694,0.812491332
0.87,285,0.977795643,0.813346266
0.871,286,0.978002076,0.814196539
0.871,287,0.978206267,0.815042181
0.872,288,0.978408244,0.815883221
0.872,289,0.978608034,0.816719689
0.872,290,0.978805664,0.817551615
0.872,291,0.979001163,0.818379029
0.873,292,0.979194555,0.819201958
0.873,293,0.979385867,0.820020434
0.873,294,0.979575124,0.820834483
0.874,295,0.979762353,0.821644135
0.874,296,0.979947577,0.822449417
0.874,297,0.980130823,0.823250358
0.876,298,0.980312113,0.824046986
0.877,299,0.980491472,0.824839328
0.877,300,0.980668923,0.825627411
0.878,301,0.980844491,0.826411263
0.878,302,0.981018197,0.827190911
0.879,303,0.981190064,0.827966381
0.879,304,0.981360116,0.828737699
0.88,305,0.981528373,0.829504893
0.88,306,0.981694858,0.830267989
0.881,307,0.981859592,0.831027011
0.881,308,0.982022596,0.831781987
0.882,309,0.982183891,0.832532941
0.883,310,0.982343497,0.833279899
0.883,311,0.982501436,0.834022887
0.883,312,0.982657726,0.834761928
0.883,313,0.982812388,0.835497048
0.885,314,0.982965441,0.836228272
0.885,315,0.983116904,0.836955624
0.885,316,0.983266797,0.837679128
0.887,317,0.983415138,0.838398808
0.888,318,0.983561945,0.839114688
0.888,319,0.983707236,0.839826792
0.891,320,0.983851031,0.840535143
0.891,321,0.983993345,0.841239765
0.891,322,0.984134197,0.84194068
0.892,323,0.984273605,0.842637912
0.894,324,0.984411584,0.843331484
0.894,325,0.984548152,0.844021419
0.895,326,0.984683325,0.844707738
0.895,327,0.98481712,0.845390464
0.895,328,0.984949553,0.846069619
0.895,329,0.98508064,0.846745226
0.895,330,0.985210396,0.847417306
0.895,331,0.985338837,0.84808588
0.897,332,0.985465978,0.848750971
0.897,333,0.985591835,0.8494126
0.897,334,0.985716421,0.850070788
0.899,335,0.985839753,0.850725555
0.899,336,0.985961844,0.851376924
0.899,337,0.986082708,0.852024914
0.899,338,0.986202361,0.852669546
0.899,339,0.986320815,0.853310841
0.899,340,0.986438084,0.853948819
0.899,341,0.986554183,0.854583501
0.9,342,0.986669125,0.855214905
0.901,343,0.986782922,0.855843053
0.901,344,0.986895587,0.856467963
0.901,345,0.987007135,0.857089656
0.901,346,0.987117577,0.85770815
0.901,347,0.987226926,0.858323466
0.901,348,0.987335194,0.858935622
0.901,349,0.987442394,0.859544638
0.901,350,0.987548538,0.860150532
0.902,351,0.987653637,0.860753323
0.903,352,0.987757704,0.861353029
0.904,353,0.98786075,0.86194967
0.905,354,0.987962786,0.862543264
0.905,355,0.988063824,0.863133828
0.906,356,0.988163875,0.863721381
0.906,357,0.988262951,0.864305941
0.907,358,0.988361061,0.864887526
0.907,359,0.988458217,0.865466154
0.908,360,0.988554429,0.866041842
0.908,361,0.988649709,0.866614607
0.908,362,0.988744065,0.867184468
0.908,363,0.98883751,0.86775144
0.908,364,0.988930051,0.868315542
0.908,365,0.989021701,0.868876791
0.908,366,0.989112468,0.869435203
0.908,367,0.989202362,0.869990795
0.908,368,0.989291393,0.870543584
0.908,369,0.98937957,0.871093586
0.908,370,0.989466903,0.871640818
0.908,371,0.989553401,0.872185295
0.909,372,0.989639073,0.872727036
0.909,373,0.989723928,0.873266054
0.91,374,0.989807975,0.873802367
0.911,375,0.989891223,0.87433599
0.913,376,0.98997368,0.874866939
0.913,377,0.990055356,0.87539523
0.913,378,0.990136258,0.875920877
0.913,379,0.990216395,0.876443898
0.913,380,0.990295776,0.876964306
0.913,381,0.990374408,0.877482118
0.913,382,0.9904523,0.877997348
0.913,383,0.990529459,0.878510011
0.913,384,0.990605893,0.879020123
0.914,385,0.990681611,0.879527698
0.915,386,0.99075662,0.88003275
0.916,387,0.990830927,0.880535295
0.917,388,0.99090454,0.881035347
0.919,389,0.990977467,0.881532921
0.919,390,0.991049714,0.88202803
0.919,391,0.99112129,0.88252069
0.919,392,0.9911922,0.883010913
0.919,393,0.991262453,0.883498715
0.919,394,0.991332055,0.883984108
0.919,395,0.991401013,0.884467108
0.919,396,0.991469335,0.884947728
0.919,397,0.991537025,0.885425981
0.919,398,0.991604092,0.88590188
0.919,399,0.991670542,0.886375441
0.919,400,0.991736382,0.886846675
0.919,401,0.991801617,0.887315597
0.919,402,0.991866254,0.887782219
0.919,403,0.9919303,0.888246555
0.919,404,0.99199376,0.888708617
0.919,405,0.992056641,0.889168419
0.919,406,0.992118949,0.889625973
0.92,407,0.992180689,0.890081293
0.92,408,0.992241868,0.890534391
0.921,409,0.992302492,0.890985279
0.922,410,0.992362566,0.891433971
0.922,411,0.992422096,0.891880478
0.922,412,0.992481087,0.892324813
0.922,413,0.992539546,0.892766988
0.922,414,0.992597477,0.893207016
0.923,415,0.992654887,0.893644909
0.923,416,0.992711779,0.894080678
0.923,417,0.992768161,0.894514336
0.924,418,0.992824037,0.894945894
0.924,419,0.992879412,0.895375365
0.925,420,0.992934291,0.89580276
0.925,421,0.99298868,0.896228091
0.925,422,0.993042583,0.89665137
0.925,423,0.993096006,0.897072607
0.925,424,0.993148953,0.897491815
0.925,425,0.993201429,0.897909004
0.925,426,0.993253439,0.898324187
0.925,427,0.993304987,0.898737374
0.925,428,0.993356079,0.899148576
0.925,429,0.993406719,0.899557805
0.925,430,0.993456912,0.899965071
