Time,P11,P22
271,0.03196,0.22496
272,0.03136,0.22412
273,0.03104,0.223
274,0.03056,0.22164
275,0.03032,0.22056
276,0.03004,0.2196
277,0.02988,0.21872
278,0.02952,0.21744
279,0.02928,0.21632
280,0.02872,0.21564
281,0.02848,0.2148
282,0.02836,0.21348
283,0.02788,0.21232
284,0.0276,0.21132
285,0.02732,0.21024
286,0.02716,0.20916
287,0.0268,0.20812
288,0.02636,0.20724
289,0.0262,0.20648
290,0.02568,0.20564
291,0.02524,0.20444
292,0.02516,0.20368
293,0.025,0.20292
294,0.02468,0.20216
295,0.02428,0.2014
296,0.02412,0.20048
297,0.02376,0.19932
298,0.02348,0.19864
299,0.0232,0.19752
300,0.02292,0.19672
301,0.02284,0.19564
302,0.02268,0.19504
303,0.0224,0.19424
304,0.022,0.193
305,0.022,0.19208
306,0.02176,0.19128
307,0.02148,0.19032
308,0.02128,0.1894
309,0.0212,0.18872
310,0.02088,0.18788
311,0.02076,0.1872
312,0.02052,0.18664
313,0.02036,0.18584
314,0.02016,0.18492
315,0.01992,0.18424
316,0.01964,0.18332
317,0.01944,0.18216
318,0.01932,0.18128
319,0.01912,0.18072
320,0.01896,0.17972
321,0.01876,0.17888
322,0.0186,0.178
323,0.01844,0.17708
324,0.01824,0.17616
325,0.01808,0.17504
326,0.01776,0.17384
327,0.0174,0.17316
328,0.01724,0.17216
329,0.01708,0.17148
330,0.017,0.17064
331,0.01684,0.16972
332,0.01684,0.169
333,0.0168,0.16856
334,0.0166,0.1676
335,0.01648,0.16696
336,0.01644,0.16612
337,0.01628,0.16528
338,0.01616,0.16468
339,0.01604,0.16404
340,0.01596,0.16292
341,0.01596,0.16204
342,0.01588,0.16148
343,0.01564,0.16088
344,0.01556,0.15988
345,0.0154,0.15928
346,0.01532,0.15844
347,0.01512,0.15776
348,0.01508,0.15708
349,0.01484,0.15632
350,0.01476,0.15532
351,0.01464,0.15452
352,0.01452,0.15404
353,0.01444,0.15304
354,0.0142,0.15212
355,0.01396,0.1512
356,0.01376,0.1504
357,0.01356,0.15
358,0.01348,0.14944
359,0.01344,0.1488
360,0.01332,0.14828
361,0.01324,0.14732
362,0.013,0.1464
363,0.01288,0.14572
364,0.0128,0.14508
365,0.01256,0.14472
366,0.01244,0.14416
367,0.01236,0.14376
368,0.01228,0.14288
369,0.01224,0.1424
370,0.01212,0.14184
371,0.01204,0.1412
372,0.01196,0.1406
373,0.0118,0.14
374,0.01164,0.13952
375,0.01156,0.13904
376,0.01148,0.13852
377,0.01132,0.1378
378,0.0112,0.1372
379,0.01108,0.1364
380,0.011,0.1358
381,0.01092,0.13484
382,0.0108,0.13408
383,0.0108,0.13332
384,0.0108,0.13284
385,0.01064,0.13232
386,0.01064,0.13152
387,0.01056,0.13084
388,0.0104,0.13024
389,0.01036,0.12976
390,0.01032,0.12912
391,0.01024,0.12836
392,0.01012,0.12784
393,0.01008,0.12732
394,0.01008,0.12664
395,0.01004,0.12588
396,0.01004,0.12544
397,9.92E-03,0.125
398,9.76E-03,0.1244
399,9.68E-03,0.12388
400,9.56E-03,0.12336
401,9.56E-03,0.1228
402,9.48E-03,0.12236
403,9.48E-03,0.12156
404,9.40E-03,0.12112
405,9.36E-03,0.12056
406,9.28E-03,0.11988
407,9.28E-03,0.11948
408,9.24E-03,0.119
409,9.12E-03,0.1182
410,9.08E-03,0.11772
411,9.00E-03,0.11688
412,9.00E-03,0.11608
413,9.00E-03,0.11536
414,8.92E-03,0.1148
415,8.92E-03,0.11436
416,8.80E-03,0.1136
417,8.72E-03,0.11292
418,8.72E-03,0.11232
419,8.72E-03,0.11204
420,8.56E-03,0.11164
421,8.52E-03,0.11116
422,8.52E-03,0.11064
423,8.48E-03,0.11012
424,8.44E-03,0.10944
425,8.40E-03,0.1086
426,8.40E-03,0.1082
427,8.24E-03,0.10768
428,8.20E-03,0.1072
429,8.12E-03,0.1068
430,8.12E-03,0.10604
431,8.00E-03,0.1054
432,7.96E-03,0.10492
433,7.92E-03,0.10452
434,7.80E-03,0.10404
435,7.72E-03,0.10368
436,7.68E-03,0.10332
437,7.64E-03,0.10284
438,7.64E-03,0.10224
439,7.56E-03,0.10188
440,7.52E-03,0.10152
441,7.48E-03,0.101
442,7.44E-03,0.1004
443,7.36E-03,0.09984
444,7.36E-03,0.0992
445,7.32E-03,0.0988
446,7.32E-03,0.09832
447,7.28E-03,0.0978
448,7.28E-03,0.09756
449,7.16E-03,0.09716
450,7.04E-03,0.09672
451,7.00E-03,0.09636
452,6.96E-03,0.09576
453,6.88E-03,0.09552
454,6.84E-03,0.09496
455,6.76E-03,0.09452
456,6.72E-03,0.09408
457,6.68E-03,0.09352
458,6.52E-03,0.09332
459,6.52E-03,0.09272
460,6.44E-03,0.09224
461,6.44E-03,0.09192
462,6.28E-03,0.09144
463,6.28E-03,0.09124
464,6.28E-03,0.09096
465,6.20E-03,0.09072
466,6.20E-03,0.09024
467,6.12E-03,0.08992
468,6.04E-03,0.08952
469,6.04E-03,0.089
470,6.00E-03,0.08852
471,5.92E-03,0.08788
472,5.92E-03,0.08724
473,5.80E-03,0.087
474,5.80E-03,0.08664
475,5.80E-03,0.0864
476,5.80E-03,0.08596
477,5.72E-03,0.08544
478,5.68E-03,0.08516
479,5.64E-03,0.08476
480,5.60E-03,0.08452
481,5.56E-03,0.08392
482,5.56E-03,0.08344
483,5.40E-03,0.08288
484,5.32E-03,0.08236
485,5.32E-03,0.08192
486,5.24E-03,0.08148
487,5.12E-03,0.08104
488,5.12E-03,0.08048
489,5.12E-03,0.08012
490,5.08E-03,0.07984
491,5.08E-03,0.0794
492,5.04E-03,0.079
493,5.04E-03,0.07852
494,5.00E-03,0.07836
495,4.84E-03,0.07812
496,4.76E-03,0.07772
497,4.76E-03,0.0774
498,4.68E-03,0.07728
499,4.64E-03,0.0768
500,4.60E-03,0.07644
501,4.60E-03,0.07608
502,4.60E-03,0.0756
503,4.52E-03,0.07536
504,4.52E-03,0.07484
505,4.36E-03,0.07428
506,4.32E-03,0.07396
507,4.20E-03,0.07372
508,4.12E-03,0.07336
509,4.04E-03,0.07308
510,3.96E-03,0.07276
511,3.92E-03,0.07236
512,3.92E-03,0.07204
513,3.92E-03,0.07176
514,3.88E-03,0.0714
515,3.84E-03,0.07104
516,3.84E-03,0.07088
517,3.84E-03,0.07072
518,3.80E-03,0.07024
519,3.72E-03,0.06976
520,3.72E-03,0.06948
521,3.68E-03,0.06884
522,3.64E-03,0.0686
523,3.64E-03,0.06832
524,3.64E-03,0.06804
525,3.60E-03,0.06768
526,3.56E-03,0.06752
527,3.56E-03,0.06708
528,3.56E-03,0.06672
529,3.56E-03,0.06628
530,3.56E-03,0.06588
531,3.52E-03,0.06556
532,3.48E-03,0.06508
533,3.48E-03,0.06476
534,3.40E-03,0.06428
535,3.40E-03,0.064
536,3.36E-03,0.06364
537,3.32E-03,0.06332
538,3.32E-03,0.06296
539,3.32E-03,0.06264
540,3.28E-03,0.06252
541,3.24E-03,0.06224
542,3.24E-03,0.06212
543,3.24E-03,0.062
544,3.20E-03,0.06152
545,3.20E-03,0.0612
546,3.16E-03,0.06096
547,3.16E-03,0.06056
548,3.08E-03,0.0602
549,3.00E-03,0.05968
550,2.92E-03,0.05916
551,2.92E-03,0.05892
552,2.92E-03,0.05832
553,2.92E-03,0.0582
554,2.92E-03,0.05788
555,2.84E-03,0.05772
556,2.84E-03,0.05728
557,2.84E-03,0.05704
558,2.84E-03,0.05664
559,2.84E-03,0.05652
560,2.84E-03,0.05616
561,2.84E-03,0.05584
562,2.84E-03,0.05572
563,2.84E-03,0.05536
564,2.84E-03,0.05492
565,2.84E-03,0.05472
566,2.84E-03,0.0544
567,2.84E-03,0.0542
568,2.76E-03,0.05388
569,2.68E-03,0.05356
570,2.68E-03,0.05336
571,2.64E-03,0.05312
572,2.64E-03,0.05276
573,2.60E-03,0.05268
574,2.60E-03,0.05252
575,2.56E-03,0.05232
576,2.52E-03,0.05196
577,2.52E-03,0.05148
578,2.44E-03,0.0514
579,2.44E-03,0.05088
580,2.44E-03,0.05064
581,2.40E-03,0.05044
582,2.40E-03,0.05036
583,2.40E-03,0.05004
584,2.40E-03,0.04972
585,2.36E-03,0.04956
586,2.36E-03,0.04912
587,2.36E-03,0.049
588,2.28E-03,0.04868
589,2.28E-03,0.04844
590,2.28E-03,0.04812
591,2.24E-03,0.04788
592,2.24E-03,0.04744
593,2.24E-03,0.04732
594,2.24E-03,0.04716
595,2.24E-03,0.04696
596,2.20E-03,0.04676
597,2.20E-03,0.04648
598,2.16E-03,0.04632
599,2.12E-03,0.04608
600,2.08E-03,0.04576
601,2.08E-03,0.04552
602,2.04E-03,0.04532
603,2.04E-03,0.04488
604,2.04E-03,0.04472
605,2.04E-03,0.04448
606,2.04E-03,0.0442
607,2.00E-03,0.04408
608,2.00E-03,0.04388
609,1.96E-03,0.04384
610,1.96E-03,0.0438
611,1.92E-03,0.04336
612,1.92E-03,0.0432
613,1.92E-03,0.043
614,1.92E-03,0.04264
615,1.88E-03,0.04248
616,1.88E-03,0.04224
617,1.88E-03,0.04208
618,1.84E-03,0.04192
619,1.84E-03,0.04164
620,1.80E-03,0.04124
621,1.76E-03,0.04096
622,1.72E-03,0.0408
623,1.72E-03,0.04064
624,1.68E-03,0.04052
625,1.68E-03,0.04028
626,1.68E-03,0.04004
627,1.68E-03,0.03992
628,1.68E-03,0.03972
629,1.68E-03,0.03956
630,1.68E-03,0.03928
631,1.68E-03,0.039
632,1.68E-03,0.03876
633,1.64E-03,0.0384
634,1.64E-03,0.03836
635,1.64E-03,0.03828
636,1.64E-03,0.03808
637,1.64E-03,0.038
638,1.64E-03,0.03776
639,1.64E-03,0.03752
640,1.64E-03,0.03728
641,1.64E-03,0.03704
642,1.64E-03,0.03696
643,1.64E-03,0.0368
644,1.64E-03,0.0366
645,1.64E-03,0.03628
646,1.64E-03,0.03612
647,1.64E-03,0.03572
648,1.64E-03,0.03544
649,1.64E-03,0.03528
650,1.64E-03,0.03496
651,1.64E-03,0.03468
652,1.60E-03,0.03452
653,1.52E-03,0.03436
654,1.52E-03,0.03404
655,1.48E-03,0.03388
656,1.48E-03,0.0336
657,1.48E-03,0.0334
658,1.48E-03,0.03332
659,1.48E-03,0.03316
660,1.48E-03,0.03292
