Time,P11,P22
4,0.2444,0.34564
5,0.20504,0.28936
6,0.18272,0.24984
7,0.1676,0.22428
8,0.15744,0.20432
9,0.15092,0.1902
10,0.1454,0.17956
11,0.14072,0.17184
12,0.13672,0.16584
13,0.1336,0.16272
14,0.1302,0.15932
15,0.12676,0.15676
16,0.1238,0.15464
17,0.12016,0.1526
18,0.11692,0.15132
19,0.11404,0.15028
20,0.11044,0.14936
21,0.1072,0.14796
22,0.10412,0.14668
23,0.10132,0.14556
24,0.09848,0.14464
25,0.096,0.144
26,0.09316,0.14312
27,0.0912,0.14228
28,0.08876,0.14164
29,0.08656,0.1408
30,0.0846,0.13984
31,0.0826,0.1388
32,0.0804,0.13768
33,0.07808,0.1368
34,0.07628,0.1356
35,0.07456,0.13472
36,0.07276,0.13364
37,0.07088,0.13288
38,0.06944,0.13184
39,0.0682,0.13076
40,0.06672,0.12976
41,0.06492,0.12904
42,0.06332,0.12828
43,0.06164,0.12744
44,0.06016,0.12664
45,0.0584,0.12572
46,0.05664,0.12488
47,0.05544,0.12368
48,0.05436,0.12296
49,0.05272,0.12208
50,0.05124,0.12096
51,0.0502,0.12
52,0.04904,0.11904
53,0.04764,0.11796
54,0.04664,0.117
55,0.04564,0.116
56,0.04484,0.11516
57,0.04392,0.11424
58,0.04272,0.11312
59,0.04216,0.11256
60,0.04128,0.11144
61,0.04044,0.11048
62,0.03964,0.10956
63,0.03892,0.10852
64,0.03804,0.10784
65,0.03704,0.1066
66,0.0362,0.1054
67,0.03512,0.10436
68,0.03456,0.10368
69,0.03368,0.1026
70,0.03272,0.10196
71,0.0322,0.10112
72,0.03148,0.09992
73,0.03112,0.099
74,0.03064,0.09816
75,0.02988,0.0972
76,0.02948,0.09628
77,0.02876,0.09532
78,0.0278,0.09432
79,0.02732,0.09372
80,0.02668,0.09304
81,0.02608,0.09228
82,0.02556,0.0916
83,0.02504,0.09068
84,0.02456,0.08972
85,0.02388,0.08868
86,0.02356,0.08816
87,0.02316,0.08708
88,0.0226,0.08616
89,0.02224,0.08552
90,0.02196,0.08516
91,0.0216,0.08436
92,0.02136,0.08372
93,0.02092,0.083
94,0.02044,0.08232
95,0.02012,0.08152
96,0.0198,0.08028
97,0.01948,0.07984
98,0.01916,0.07924
99,0.01872,0.0786
100,0.0182,0.07796
101,0.01784,0.07708
102,0.01764,0.07612
103,0.0174,0.07508
104,0.01708,0.07464
105,0.01684,0.07388
106,0.0166,0.07324
107,0.01636,0.07244
108,0.01616,0.07168
109,0.01596,0.07104
110,0.01576,0.07056
111,0.01564,0.06976
112,0.01548,0.06904
113,0.01532,0.06832
114,0.01508,0.06768
115,0.015,0.06704
116,0.01472,0.06616
117,0.01448,0.0658
118,0.01436,0.06516
119,0.0142,0.06436
120,0.01392,0.06352
121,0.01372,0.0632
122,0.0136,0.06276
123,0.01348,0.06252
124,0.01332,0.06192
125,0.01312,0.06148
126,0.01308,0.06088
127,0.01276,0.06028
128,0.01236,0.05968
129,0.01212,0.05932
130,0.01196,0.05896
131,0.01176,0.05856
132,0.01164,0.05816
133,0.01144,0.05748
134,0.0114,0.05684
135,0.01124,0.05648
136,0.01116,0.05624
137,0.011,0.05584
138,0.01088,0.05532
139,0.01076,0.05452
140,0.01072,0.05396
141,0.01056,0.05336
142,0.01052,0.05288
143,0.01048,0.05272
144,0.0104,0.05204
145,0.01036,0.05156
146,0.01024,0.05124
147,0.0102,0.05068
148,0.01008,0.0502
149,0.00984,0.04976
150,0.00972,0.04944
151,0.00948,0.04916
152,0.00932,0.04892
153,0.00924,0.04868
154,0.00916,0.04828
155,0.00916,0.04792
156,0.00908,0.0476
157,0.00888,0.04696
158,0.00872,0.04676
159,0.00864,0.04648
160,0.0086,0.04632
161,0.0084,0.04612
162,0.0082,0.04556
163,0.00812,0.04512
164,0.008,0.04472
165,0.0078,0.0444
166,0.0076,0.04408
167,0.00752,0.04372
168,0.00748,0.04356
169,0.0074,0.04312
170,0.00724,0.04268
171,0.00708,0.04236
172,0.00688,0.04204
173,0.00664,0.04168
174,0.00656,0.0414
175,0.00648,0.04116
176,0.0064,0.04084
177,0.00632,0.0406
178,0.00628,0.0402
179,0.0062,0.04004
180,0.006,0.04
181,0.006,0.03972
182,0.00592,0.03936
183,0.00588,0.03888
184,0.00588,0.0384
185,0.0058,0.03824
186,0.00568,0.03796
187,0.0056,0.03772
188,0.00548,0.03752
189,0.00536,0.0374
190,0.00532,0.03708
191,0.00524,0.03656
192,0.0052,0.03624
193,0.0052,0.03604
194,0.00512,0.03592
195,0.00508,0.03552
196,0.00496,0.03524
197,0.00484,0.035
198,0.0048,0.0348
199,0.0048,0.0346
200,0.0048,0.0342
201,0.00472,0.03404
202,0.00464,0.03392
203,0.0046,0.0338
204,0.00452,0.0336
205,0.00452,0.03336
206,0.00444,0.0332
207,0.0044,0.033
208,0.0044,0.0328
209,0.00432,0.03256
210,0.00428,0.03224
211,0.00424,0.0318
212,0.00424,0.03164
213,0.00416,0.03148
214,0.00416,0.03128
215,0.00416,0.03088
216,0.00412,0.03064
217,0.00404,0.0304
218,0.00404,0.03012
219,0.004,0.02996
220,0.00396,0.0298
221,0.00396,0.02968
222,0.00392,0.02948
223,0.00384,0.02912
224,0.00372,0.02896
225,0.00364,0.02872
226,0.0036,0.02864
227,0.00356,0.0286
228,0.00352,0.02828
229,0.00348,0.02812
230,0.00344,0.02796
231,0.00336,0.02768
232,0.00332,0.02748
233,0.00328,0.02708
234,0.00328,0.02692
235,0.00328,0.02676
236,0.00324,0.02648
237,0.0032,0.02628
238,0.00316,0.02596
239,0.00312,0.02584
240,0.00308,0.02556
241,0.00304,0.02524
242,0.003,0.02492
243,0.00296,0.02476
244,0.00296,0.02444
245,0.00296,0.0244
246,0.00288,0.02428
247,0.00284,0.02408
248,0.00284,0.02388
249,0.00284,0.02372
250,0.00284,0.0236
251,0.0028,0.02352
252,0.0028,0.02336
253,0.00276,0.0232
254,0.00272,0.02312
255,0.00272,0.02304
256,0.00268,0.02292
257,0.00268,0.02284
258,0.00268,0.02268
259,0.00268,0.02248
260,0.00268,0.02232
261,0.00264,0.02224
262,0.00264,0.02192
263,0.00252,0.02168
264,0.00248,0.02156
265,0.00244,0.02148
266,0.0024,0.02136
267,0.00236,0.02108
268,0.00236,0.02096
269,0.00232,0.02092
270,0.00224,0.02068
271,0.0022,0.02048
272,0.00216,0.02028
273,0.00208,0.02012
274,0.00204,0.02
275,0.00204,0.02
276,0.00204,0.01984
277,0.00204,0.01976
278,0.00204,0.01972
279,0.00204,0.01964
280,0.00204,0.01944
281,0.00204,0.01928
282,0.00204,0.01916
283,0.00204,0.01912
284,0.00204,0.01896
285,0.002,0.01888
286,0.00196,0.01876
287,0.00196,0.01844
288,0.00192,0.0184
289,0.00192,0.01832
290,0.00192,0.01812
291,0.00188,0.01808
292,0.00188,0.01792
293,0.00188,0.01784
294,0.00184,0.0176
295,0.00184,0.0174
296,0.00184,0.01732
297,0.00184,0.01716
298,0.00184,0.01696
299,0.00184,0.0168
300,0.00184,0.01672
301,0.00184,0.01664
302,0.00184,0.01652
303,0.00184,0.01644
304,0.0018,0.01636
305,0.0018,0.0162
306,0.0018,0.01604
307,0.0018,0.01596
308,0.00176,0.01584
309,0.00176,0.01576
310,0.00176,0.01568
311,0.00176,0.01568
312,0.00176,0.01564
313,0.00172,0.0154
314,0.00172,0.01528
315,0.00164,0.01516
316,0.0016,0.01512
317,0.00156,0.01504
318,0.00152,0.01504
319,0.00152,0.01504
320,0.00152,0.01496
321,0.00152,0.01488
