Time,Rec
1,0.11186
2,0.2508
3,0.30592
4,0.39224
5,0.45716
6,0.50358
7,0.53926
8,0.56658
9,0.58792
10,0.60274
11,0.61564
12,0.62684
13,0.63642
14,0.64398
15,0.65088
16,0.65642
17,0.6624
18,0.66806
19,0.6735
20,0.67894
21,0.68396
22,0.68828
23,0.6927
24,0.69718
25,0.70144
26,0.70568
27,0.70966
28,0.71354
29,0.71782
30,0.72164
31,0.72572
32,0.7302
33,0.73404
34,0.73774
35,0.74084
36,0.74434
37,0.74758
38,0.75102
39,0.7537
40,0.75664
41,0.7601
42,0.76284
43,0.76532
44,0.76828
45,0.77154
46,0.77434
47,0.77702
48,0.78012
49,0.78274
50,0.78562
51,0.78852
52,0.79104
53,0.7935
54,0.79572
55,0.7981
56,0.80034
57,0.80282
58,0.8048
59,0.80732
60,0.80952
61,0.81198
62,0.8141
63,0.81638
64,0.8185
65,0.82044
66,0.8224
67,0.82456
68,0.82624
69,0.82832
70,0.82998
71,0.83178
72,0.8336
73,0.83534
74,0.83744
75,0.83914
76,0.84126
77,0.84294
78,0.8447
79,0.84636
80,0.84804
81,0.84976
82,0.85134
83,0.85282
84,0.8545
85,0.85582
86,0.85702
87,0.85842
88,0.85982
89,0.86148
90,0.86306
91,0.86442
92,0.86548
93,0.86674
94,0.86804
95,0.86936
96,0.87076
97,0.8719
98,0.8733
99,0.87448
100,0.876
101,0.87716
102,0.8786
103,0.87974
104,0.8808
105,0.88222
106,0.88338
107,0.8845
108,0.88564
109,0.88666
110,0.88752
111,0.88862
112,0.8895
113,0.89024
114,0.89142
115,0.89242
116,0.89348
117,0.8944
118,0.89522
119,0.8961
120,0.89692
121,0.89786
122,0.8987
123,0.89966
124,0.90056
125,0.90158
126,0.90246
127,0.90336
128,0.90424
129,0.9051
130,0.90584
131,0.90694
132,0.90756
133,0.90818
134,0.9089
135,0.90962
136,0.91042
137,0.91132
138,0.91192
139,0.91278
140,0.91326
141,0.91412
142,0.91454
143,0.91528
144,0.91584
145,0.91652
146,0.91712
147,0.91782
148,0.9184
149,0.91904
150,0.91976
151,0.01982
152,0.01988
153,0.02134
154,0.02858
155,0.02988
156,0.03002
157,0.03008
158,0.03034
159,0.03052
160,0.03062
161,0.03076
162,0.03096
