Time,P11,P22
4,0.4946,0.5732
5,0.46048,0.52376
6,0.43888,0.48932
7,0.42388,0.46416
8,0.41312,0.44752
9,0.40432,0.4348
10,0.39592,0.4264
11,0.38884,0.41888
12,0.38228,0.4136
13,0.37496,0.40968
14,0.36812,0.40684
15,0.36104,0.40416
16,0.35384,0.40252
17,0.34672,0.40072
18,0.3392,0.3986
19,0.33184,0.3972
20,0.32424,0.39564
21,0.31724,0.39388
22,0.30968,0.39212
23,0.30264,0.39036
24,0.29592,0.38896
25,0.28956,0.38744
26,0.28192,0.38572
27,0.27608,0.38448
28,0.2704,0.38304
29,0.26452,0.38168
30,0.259,0.37988
31,0.25368,0.37804
32,0.2474,0.37572
33,0.24212,0.37408
34,0.23764,0.37168
35,0.23268,0.36932
36,0.22736,0.36772
37,0.2224,0.36548
38,0.21712,0.36396
39,0.21196,0.36196
40,0.20772,0.35944
41,0.20412,0.35756
42,0.19844,0.35492
43,0.1944,0.3526
44,0.1902,0.35032
45,0.1854,0.34808
46,0.18232,0.34612
47,0.17912,0.34372
48,0.17584,0.34172
49,0.17292,0.3394
50,0.17,0.33736
51,0.16664,0.33492
52,0.163,0.33332
53,0.16016,0.33108
54,0.15688,0.3288
55,0.1538,0.32668
56,0.15072,0.32432
57,0.14812,0.32216
58,0.14508,0.32064
59,0.14156,0.31812
60,0.13872,0.31556
61,0.13632,0.31348
62,0.1342,0.31144
63,0.13112,0.30876
64,0.12844,0.3062
65,0.1258,0.304
66,0.12316,0.30152
67,0.1212,0.29968
68,0.1192,0.29768
69,0.11684,0.29524
70,0.11492,0.29312
71,0.11308,0.29092
72,0.11128,0.28848
73,0.10924,0.28632
74,0.10756,0.28404
75,0.10584,0.28208
76,0.10452,0.2798
77,0.10252,0.27736
78,0.10092,0.27552
79,0.09908,0.2732
80,0.0978,0.27124
81,0.09604,0.26896
82,0.09472,0.26732
83,0.09304,0.26544
84,0.0916,0.26304
85,0.0902,0.26084
86,0.08864,0.25928
87,0.08744,0.25696
88,0.08648,0.25488
89,0.08544,0.25236
90,0.084,0.2504
91,0.08256,0.24832
92,0.08156,0.24648
93,0.08044,0.24488
94,0.07908,0.24304
95,0.07772,0.241
96,0.07632,0.23952
97,0.07524,0.23784
98,0.07404,0.23572
99,0.07256,0.23416
100,0.07152,0.2328
101,0.07056,0.23104
102,0.0694,0.22924
103,0.0684,0.22764
104,0.06756,0.22644
105,0.06656,0.22516
106,0.06536,0.22376
107,0.06464,0.22232
108,0.06384,0.2206
109,0.06304,0.2192
110,0.06244,0.21724
111,0.06172,0.21584
112,0.06072,0.21408
113,0.05976,0.21272
114,0.05888,0.21096
115,0.05764,0.20968
116,0.05668,0.20872
117,0.05592,0.20752
118,0.05508,0.20604
119,0.05444,0.20444
120,0.05372,0.20276
121,0.05308,0.2014
122,0.05228,0.20016
123,0.05144,0.19844
124,0.05076,0.19692
125,0.04984,0.19552
126,0.04912,0.1942
127,0.04844,0.1924
128,0.04784,0.1908
129,0.04744,0.18936
130,0.04668,0.18856
131,0.046,0.18764
132,0.04556,0.1866
133,0.04472,0.18584
134,0.04408,0.18452
135,0.04352,0.18336
136,0.04308,0.18256
137,0.04256,0.18112
138,0.04208,0.18008
139,0.04148,0.17924
140,0.04064,0.17788
141,0.04016,0.17636
142,0.0396,0.17544
143,0.03912,0.17436
144,0.03868,0.17328
145,0.03816,0.17212
146,0.03756,0.17104
147,0.03696,0.16956
148,0.03628,0.1686
149,0.0358,0.1674
150,0.03524,0.1662
151,0.03468,0.16548
152,0.03428,0.16404
153,0.03368,0.16316
154,0.03344,0.16184
155,0.03316,0.16088
156,0.03272,0.16012
157,0.03212,0.1592
158,0.03176,0.15824
159,0.0312,0.15736
160,0.0308,0.15592
161,0.0306,0.15512
162,0.03028,0.15408
163,0.03,0.153
164,0.02976,0.15212
165,0.0292,0.15128
166,0.02896,0.15024
167,0.02852,0.14908
168,0.02824,0.14824
169,0.02796,0.14724
170,0.0276,0.14612
171,0.02724,0.14528
172,0.02668,0.14396
173,0.02644,0.1432
174,0.0262,0.14192
175,0.02576,0.14108
176,0.0254,0.14052
177,0.025,0.13948
178,0.0246,0.13892
179,0.02452,0.13812
180,0.02436,0.13716
181,0.0242,0.13628
182,0.02392,0.1352
183,0.02376,0.1342
184,0.02332,0.13332
185,0.02316,0.13268
186,0.02288,0.13196
187,0.02268,0.13096
188,0.02236,0.13016
189,0.02208,0.1294
190,0.02192,0.12844
191,0.02172,0.12748
192,0.0214,0.1268
193,0.0212,0.12576
194,0.02108,0.125
195,0.02076,0.12436
196,0.02064,0.1234
197,0.02044,0.1226
198,0.02024,0.1212
199,0.01988,0.12032
200,0.01972,0.11968
201,0.01944,0.11912
202,0.01908,0.1182
203,0.0188,0.11736
204,0.01872,0.11672
205,0.01856,0.11592
206,0.01836,0.11504
207,0.01832,0.11428
208,0.01812,0.11372
209,0.018,0.11248
210,0.01772,0.11192
211,0.01752,0.11096
212,0.01748,0.11052
213,0.0174,0.10984
214,0.01728,0.1092
215,0.01708,0.10844
216,0.01688,0.10784
217,0.01676,0.10748
218,0.01664,0.10676
219,0.01652,0.10612
220,0.0164,0.10552
221,0.01592,0.10492
222,0.01588,0.10456
223,0.01564,0.10408
224,0.01536,0.10364
225,0.01524,0.10304
226,0.01508,0.10232
227,0.01496,0.1018
228,0.01472,0.10104
229,0.01456,0.10064
230,0.01436,0.1
231,0.01424,0.09948
232,0.0142,0.09912
233,0.01396,0.09876
234,0.01376,0.0982
235,0.01352,0.09768
236,0.01344,0.09732
237,0.01336,0.09636
238,0.01328,0.09576
239,0.013,0.09516
240,0.0128,0.09476
241,0.01264,0.09408
242,0.01244,0.09352
243,0.01224,0.0928
244,0.01208,0.09204
245,0.012,0.09156
246,0.01192,0.0908
247,0.01184,0.09008
248,0.0118,0.0894
249,0.01164,0.08868
250,0.01164,0.08824
251,0.01152,0.08744
252,0.01148,0.08712
253,0.0114,0.08664
254,0.01132,0.0862
255,0.01116,0.08564
256,0.01092,0.08536
257,0.01092,0.08496
258,0.0108,0.08476
259,0.01072,0.08396
260,0.01056,0.08348
261,0.01056,0.08284
262,0.01056,0.0822
263,0.01052,0.08164
264,0.01036,0.08132
265,0.01024,0.08076
266,0.01024,0.0802
267,0.01012,0.0798
268,0.00996,0.07948
269,0.00992,0.07924
270,0.0098,0.07888
271,0.00972,0.07832
272,0.00964,0.07796
273,0.00956,0.07736
274,0.00952,0.07704
275,0.0094,0.07672
276,0.00936,0.07632
277,0.00924,0.07556
278,0.0092,0.0748
279,0.00916,0.07464
280,0.00908,0.07436
281,0.00908,0.07404
282,0.00888,0.07372
283,0.00884,0.07332
284,0.00868,0.0728
285,0.00868,0.0724
286,0.00864,0.072
287,0.0086,0.07164
288,0.00852,0.07128
289,0.00848,0.07104
290,0.0084,0.07076
291,0.00832,0.07048
292,0.00828,0.06996
293,0.00808,0.06952
294,0.008,0.06928
295,0.00776,0.06884
296,0.00764,0.06848
297,0.00752,0.068
298,0.00752,0.06776
299,0.00752,0.06736
300,0.00736,0.06692
301,0.00724,0.06652
302,0.00716,0.06624
303,0.00704,0.0656
304,0.00696,0.06544
305,0.00696,0.0648
306,0.00692,0.06456
307,0.00684,0.064
308,0.00676,0.06364
309,0.00672,0.06316
310,0.00672,0.06268
311,0.00664,0.06232
312,0.00648,0.06204
313,0.00644,0.06172
314,0.00632,0.0612
315,0.00632,0.06084
316,0.00616,0.06072
317,0.00608,0.06048
318,0.006,0.06004
319,0.00588,0.0596
320,0.00584,0.05932
321,0.00584,0.05888
322,0.0058,0.05836
323,0.00564,0.05792
324,0.00556,0.05772
325,0.00552,0.05752
326,0.00544,0.0572
327,0.0054,0.05692
328,0.0054,0.05664
329,0.00536,0.05644
330,0.00536,0.05616
331,0.00536,0.05568
332,0.00532,0.05528
333,0.00528,0.0552
334,0.00524,0.055
335,0.00496,0.0548
336,0.00492,0.05476
337,0.00484,0.05444
338,0.0048,0.05408
339,0.0048,0.054
340,0.00476,0.05368
341,0.00472,0.05336
342,0.00464,0.05308
343,0.0046,0.0528
344,0.0046,0.0526
345,0.0046,0.05244
346,0.0046,0.052
347,0.00452,0.05192
348,0.00448,0.05156
349,0.00444,0.05132
350,0.0044,0.05096
351,0.00436,0.05084
352,0.00424,0.0506
353,0.00412,0.05028
354,0.00404,0.05004
355,0.004,0.04968
356,0.004,0.04936
357,0.004,0.04916
358,0.00396,0.04884
359,0.00396,0.04864
360,0.00388,0.04832
361,0.00384,0.04792
362,0.00376,0.04748
363,0.00376,0.04724
364,0.00376,0.04696
365,0.00376,0.04664
366,0.00372,0.04644
367,0.00372,0.04616
368,0.00372,0.046
369,0.00372,0.04572
370,0.00368,0.0456
371,0.0036,0.04532
372,0.00356,0.04504
373,0.00356,0.04496
374,0.00356,0.04464
375,0.00352,0.0444
376,0.00352,0.04428
377,0.00344,0.04396
378,0.0034,0.0438
379,0.0034,0.04364
380,0.0034,0.04348
381,0.0034,0.04332
382,0.00336,0.04316
383,0.00332,0.04296
384,0.00328,0.0428
385,0.00328,0.0426
386,0.00328,0.04232
387,0.00324,0.04216
388,0.00316,0.04204
389,0.00316,0.0418
390,0.00312,0.0416
391,0.00312,0.0414
392,0.00312,0.04108
393,0.00312,0.041
394,0.00308,0.04092
395,0.00308,0.04068
396,0.00304,0.0404
397,3.04E-03,0.0402
398,3.00E-03,0.04004
399,3.00E-03,0.03988
400,2.96E-03,0.03968
401,2.92E-03,0.0396
402,2.92E-03,0.03948
403,2.92E-03,0.03928
404,2.92E-03,0.03904
405,2.92E-03,0.03892
406,2.88E-03,0.03872
407,2.80E-03,0.03844
408,2.72E-03,0.03824
409,2.68E-03,0.03792
410,2.64E-03,0.03772
411,2.64E-03,0.03764
412,2.56E-03,0.03744
413,2.56E-03,0.03732
414,2.52E-03,0.03712
415,2.48E-03,0.03676
416,2.48E-03,0.03644
417,2.48E-03,0.0362
418,2.40E-03,0.03608
419,2.40E-03,0.03596
420,2.32E-03,0.03584
421,2.32E-03,0.03576
422,2.32E-03,0.03548
423,2.32E-03,0.03536
424,2.32E-03,0.0352
425,2.28E-03,0.03492
426,2.28E-03,0.0346
427,2.28E-03,0.03432
428,2.24E-03,0.03428
429,2.20E-03,0.034
430,2.20E-03,0.03396
431,2.20E-03,0.0336
432,2.16E-03,0.03348
433,2.16E-03,0.03332
434,2.16E-03,0.03332
435,2.16E-03,0.03324
436,2.16E-03,0.03316
437,2.12E-03,0.033
438,2.12E-03,0.03288
439,2.08E-03,0.03256
440,2.08E-03,0.03236
441,2.08E-03,0.03216
442,2.04E-03,0.03192
443,2.04E-03,0.0318
444,2.04E-03,0.0316
445,2.00E-03,0.03148
446,1.96E-03,0.03132
447,1.96E-03,0.0312
448,1.96E-03,0.03092
449,1.96E-03,0.0308
450,1.96E-03,0.0306
451,1.92E-03,0.03036
452,1.88E-03,0.03016
453,1.88E-03,0.03008
454,1.80E-03,0.02988
455,1.80E-03,0.0298
456,1.80E-03,0.02976
457,1.76E-03,0.02964
458,1.76E-03,0.0296
459,1.72E-03,0.02944
460,1.72E-03,0.02908
461,1.72E-03,0.02884
462,1.68E-03,0.02884
463,1.64E-03,0.02872
464,1.64E-03,0.02868
465,1.64E-03,0.0286
466,1.60E-03,0.0284
467,1.56E-03,0.02824
468,1.56E-03,0.02808
469,1.52E-03,0.02788
470,1.52E-03,0.02776
471,1.52E-03,0.02772
472,1.48E-03,0.02768
473,1.48E-03,0.02736
474,1.44E-03,0.02732
475,1.44E-03,0.02724
476,1.44E-03,0.02716
477,1.44E-03,0.02696
478,1.44E-03,0.02692
479,1.44E-03,0.02688
480,1.44E-03,0.02672
481,1.44E-03,0.02664
482,1.44E-03,0.02644
483,1.44E-03,0.02628
484,1.40E-03,0.02616
485,1.40E-03,0.02604
486,1.40E-03,0.02588
487,1.40E-03,0.02572
488,1.36E-03,0.0256
489,1.32E-03,0.02536
490,1.32E-03,0.02532
491,1.32E-03,0.02524
492,1.32E-03,0.02512
493,1.32E-03,0.02492
494,1.32E-03,0.02476
495,1.32E-03,0.02464
496,1.32E-03,0.02456
497,1.32E-03,0.02448
