Time,Rec
1,0.051313048
2,0.119855381
3,0.149495134
4,0.177594476
5,0.200006985
6,0.216400897
7,0.229426958
8,0.239124202
9,0.247847043
10,0.254626279
11,0.259579109
12,0.265435134
13,0.270930364
14,0.277258393
15,0.282832818
16,0.285988845
17,0.289619271
18,0.294336099
19,0.297242924
20,0.301731751
21,0.306196579
22,0.309925005
23,0.31488223
24,0.317076654
25,0.321062279
26,0.323499503
27,0.326489525
28,0.329487547
29,0.331513969
30,0.333326394
31,0.335141618
32,0.338415245
33,0.341524467
34,0.342900487
35,0.346578912
36,0.348583731
37,0.351259754
38,0.353804976
39,0.353550195
40,0.354976615
41,0.358087835
42,0.358409853
43,0.361325872
44,0.36245389
45,0.364263113
46,0.365991533
47,0.367595152
48,0.370035169
49,0.370543987
50,0.371882801
51,0.37415522
52,0.374326036
53,0.375494454
54,0.377541671
55,0.379578086
56,0.379471301
57,0.380345716
58,0.38221693
59,0.382938545
60,0.384661358
61,0.387416974
62,0.389080987
63,0.388582604
64,0.391237819
65,0.393843035
66,0.39534065
67,0.396784264
68,0.398180676
69,0.399554288
70,0.399729103
71,0.399861519
72,0.397783132
73,0.400102345
74,0.401308756
75,0.397849968
76,0.398927583
77,0.399997195
78,0.399801607
79,0.400748019
80,0.399351628
81,0.399102038
82,0.399974851
83,0.400807263
84,0.400397277
85,0.398715583
86,0.394585994
87,0.396494402
88,0.394671612
89,0.395369622
90,0.392350832
91,0.394145244
92,0.393453253
93,0.392758861
94,0.39198527
95,0.392487277
96,0.389174087
97,0.388345693
98,0.3900305
99,0.391726106
100,0.390901315
101,0.390032523
102,0.391633329
103,0.390703336
104,0.389737744
105,0.38868775
106,0.387657358
107,0.389230565
108,0.390731772
109,0.385612178
110,0.385781786
111,0.385952593
112,0.386124201
113,0.387567008
114,0.385032215
115,0.386471022
116,0.38374303
117,0.383880235
118,0.382571442
119,0.383960247
120,0.382576253
121,0.383917861
122,0.382498267
123,0.381117872
124,0.381053477
125,0.374049882
126,0.37398349
127,0.366899096
128,0.368227903
129,0.36816311
130,0.369458316
131,0.370773122
132,0.367785128
133,0.367596732
134,0.366027939
135,0.367291946
136,0.367098353
137,0.363971157
138,0.365218762
139,0.365018368
140,0.363323173
141,0.360184779
142,0.359922384
143,0.35825159
144,0.356569598
145,0.356348002
146,0.354649607
147,0.351411612
148,0.349698817
149,0.350916823
150,0.350654428
151,0.348881231
152,0.348528036
153,0.346708842
154,0.346368446
155,0.347510051
156,0.348670054
157,0.346789658
158,0.346443662
159,0.341541667
160,0.342659672
161,0.342277677
162,0.341913281
163,0.339997686
164,0.339600089
165,0.337677695
166,0.338797299
167,0.336853704
168,0.336469707
169,0.334522511
170,0.334121314
171,0.332157318
172,0.327133324
173,0.325202927
174,0.324780929
175,0.322801735
176,0.322365739
177,0.323464943
178,0.324586146
179,0.32572175
180,0.322161354
181,0.321684957
182,0.32120496
183,0.319182564
184,0.317137768
185,0.318240572
186,0.319353776
187,0.31733418
188,0.318453384
189,0.316395388
190,0.317519793
191,0.313858997
192,0.311841001
193,0.312974204
194,0.314074609
195,0.312049557
196,0.311529558
197,0.307859961
198,0.307402365
199,0.306927968
200,0.308105571
201,0.309219173
202,0.310361176
203,0.309904779
204,0.311053982
205,0.312216784
206,0.311718385
207,0.311244387
208,0.310755989
209,0.308640791
210,0.308143194
211,0.307651196
212,0.305544797
213,0.3050428
214,0.301260402
215,0.302426804
216,0.300390406
217,0.299929607
218,0.301126809
219,0.300671211
220,0.301875613
221,0.301417216
222,0.302601217
223,0.30382722
224,0.303352822
225,0.304531224
226,0.304014027
227,0.303578829
228,0.303112031
229,0.300960033
230,0.300504035
231,0.301696437
232,0.30289964
233,0.304115241
234,0.305306043
235,0.304860044
236,0.302715646
237,0.303900049
238,0.30172765
239,0.302964052
240,0.304169654
241,0.302065257
242,0.303278458
243,0.30283126
244,0.299043262
245,0.300296064
246,0.298192866
247,0.299437267
248,0.299040069
249,0.295235671
250,0.294845673
251,0.294476075
252,0.294070476
253,0.295355678
254,0.294925681
255,0.296232882
256,0.297498483
257,0.298773684
258,0.298350485
259,0.299640488
260,0.297522489
261,0.298774491
262,0.296668092
263,0.296297694
264,0.294217294
265,0.295511296
266,0.293434897
267,0.293056899
268,0.2943713
269,0.295700501
270,0.297037702
271,0.298395304
272,0.299692107
273,0.299275708
274,0.300574109
275,0.301969311
276,0.301600113
277,0.302944114
278,0.304278515
279,0.303878116
280,0.303552117
281,0.304922919
282,0.30626012
283,0.307642121
284,0.308980923
285,0.310365324
286,0.310030125
287,0.309734925
288,0.311130127
289,0.309037017
290,0.310455018
291,0.311873818
292,0.313281819
293,0.31119222
294,0.312575821
295,0.313941822
296,0.315338222
297,0.316723023
298,0.318087424
299,0.317718225
300,0.319114626
301,0.315282627
302,0.313227828
303,0.314642228
304,0.316139829
305,0.31580943
306,0.317309431
307,0.317040232
308,0.314940633
309,0.316380234
310,0.317876634
311,0.319385435
312,0.320890235
313,0.322367835
