Time,P1,P2,IM,Rec
4,0.9519878,0.994227656,40,0.05048
14,0.994085654,0.994283752,40,0.00584
24,0.994267602,0.994400394,40,0.0056
34,0.994312521,0.994573853,40,0.0056
44,0.994372374,0.994798685,40,0.0056
54,0.994446682,0.995068007,40,0.00556
64,0.994534855,0.995373854,40,0.00548
74,0.994636197,0.995707565,40,0.00536
84,0.994749921,0.996060185,40,0.00528
94,0.994875155,0.996422864,40,0.0052
104,0.995010953,0.996787207,40,0.00512
114,0.99515631,0.997145581,40,0.00492
124,0.995310172,0.99749135,40,0.0046
134,0.995471447,0.997819027,40,0.00436
144,0.995639022,0.998124367,40,0.00432
154,0.995811773,0.998404366,40,0.00408
164,0.995988577,0.998657216,40,0.00396
174,0.996168326,0.998882194,40,0.00376
184,0.996349935,0.999079519,40,0.00364
194,0.996532356,0.999250191,40,0.0034
204,0.996714584,0.99939581,40,0.00324
214,0.996895669,0.999518402,40,0.00312
224,0.997074718,0.999620263,40,0.003
234,0.997250908,0.999703811,40,0.00296
244,0.997423485,0.99977147,40,0.00292
254,0.99759177,0.999825577,40,0.00272
264,0.997755161,0.99986831,40,0.00268
274,0.997913135,0.999901647,40,0.00256
284,0.998065248,0.999927337,40,0.00228
294,0.998211132,0.999946896,40,0.00224
304,0.998350497,0.999961609,40,0.00188
314,0.998483125,0.999972546,40,0.00176
324,0.998608868,0.999980578,40,0.0016
334,0.998727643,0.999986409,40,0.00136
344,0.99883943,0.999990592,40,0.00128
354,0.998944263,0.999993558,40,0.00116
364,0.999042228,0.999995636,40,0.00104
374,0.999133457,0.999997076,40,0.001
384,0.99921812,0.999998062,40,0.00092
394,0.999296422,0.999998729,40,0.00068
404,0.999368598,0.999999176,40,0.00048
414,0.999434905,0.999999471,40,0.00044
424,0.999495618,0.999999664,40,0.00044
434,0.999551028,0.999999789,40,0.0004
444,0.999601434,0.999999869,40,0.00032
454,0.999647139,0.99999992,40,0.00032
464,0.999688449,0.999999951,40,0.00028
474,0.999725668,0.999999971,40,0.00028
484,0.999759095,0.999999983,40,0.00024
494,0.999789023,0.99999999,40,0.0002
504,0.999815732,0.999999994,40,0.0002
514,0.999839497,0.999999997,40,0.00016
524,0.999860575,0.999999998,40,0.00016
534,0.999879213,0.999999999,40,0.00012
544,0.999895644,0.999999999,40,0.00012
554,0.999910083,1,40,0.00012
564,0.999922734,1,40,8.00E-05
574,0.999933786,1,40,8.00E-05
584,0.99994341,1,40,8.00E-05
594,0.999951766,1,40,8.00E-05
604,0.999959,1,40,8.00E-05
4,0.465307613,0.794626452,60,0.52896
14,0.792446854,0.796622292,60,0.20732
24,0.794684437,0.800772267,60,0.20524
34,0.79628471,0.80694376,60,0.20404
44,0.798417058,0.814943009,60,0.20188
54,0.801064416,0.824525201,60,0.1998
64,0.804205757,0.835406905,60,0.19628
74,0.807816383,0.847279944,60,0.19204
84,0.811868241,0.859825783,60,0.18812
94,0.816330292,0.872729483,60,0.18344
104,0.821168906,0.885692406,60,0.17816
114,0.82634828,0.898442978,60,0.17304
124,0.831830882,0.910745024,60,0.16752
134,0.837577899,0.922403431,60,0.16152
144,0.843549693,0.933267068,60,0.15584
154,0.84970625,0.943229137,60,0.14956
164,0.856007616,0.952225254,60,0.14312
174,0.862414327,0.960229699,60,0.13628
184,0.868887797,0.967250326,60,0.12904
194,0.875390691,0.97332265,60,0.1224
204,0.881887262,0.978503588,60,0.1158
214,0.888343646,0.982865285,60,0.10904
224,0.89472812,0.986489376,60,0.10256
234,0.901011321,0.989461919,60,0.09648
244,0.907166415,0.991869163,60,0.09036
254,0.913169226,0.993794217,60,0.08496
264,0.918998327,0.995314613,60,0.07964
274,0.924635081,0.996500693,60,0.07472
284,0.930063646,0.997414729,60,0.0692
294,0.935270949,0.998110626,60,0.06416
304,0.940246612,0.998634105,60,0.05852
314,0.944982865,0.999023203,60,0.05348
324,0.949474419,0.999308999,60,0.04956
334,0.953718324,0.999516451,60,0.04528
344,0.957713801,0.999665273,60,0.0414
354,0.961462072,0.999770793,60,0.0376
364,0.964966165,0.999844742,60,0.03384
374,0.968230723,0.999895968,60,0.03056
384,0.971261805,0.999931045,60,0.02672
394,0.974066688,0.999954788,60,0.02396
404,0.976653676,0.999970676,60,0.02136
414,0.979031909,0.999981186,60,0.01924
424,0.981211182,0.999988059,60,0.01704
434,0.98320178,0.999992503,60,0.01524
444,0.985014317,0.999995344,60,0.01368
454,0.986659592,0.99999714,60,0.01244
464,0.988148458,0.999998262,60,0.01088
474,0.989491705,0.999998955,60,0.00972
484,0.990699956,0.999999379,60,0.00872
494,0.991783583,0.999999634,60,0.00792
504,0.992752625,0.999999787,60,0.00692
514,0.993616737,0.999999878,60,0.00612
524,0.99438513,0.99999993,60,0.00548
534,0.995066544,0.999999961,60,0.005
544,0.995669218,0.999999978,60,0.00452
554,0.996200871,0.999999988,60,0.00412
564,0.996668699,0.999999993,60,0.00356
574,0.997079374,0.999999996,60,0.00312
584,0.997439049,0.999999998,60,0.00272
594,0.997753372,0.999999999,60,0.0024
604,0.998027501,0.999999999,60,0.002
614,0.998266128,1,60,0.00184
624,0.998473496,1,60,0.00164
634,0.998653433,1,60,0.0014
644,0.998809372,1,60,0.00124
654,0.998944378,1,60,0.00112
664,0.999061182,1,60,0.001
674,0.999162203,1,60,0.00076
684,0.999249575,1,60,0.00072
694,0.999325178,1,60,0.00068
704,0.999390654,1,60,0.00064
714,0.999447441,1,60,0.00056
724,0.999496785,1,60,0.00044
734,0.999539769,1,60,0.00044
744,0.999577324,1,60,0.00044
754,0.999610256,1,60,0.00036
764,0.99963925,1,60,0.00032
774,0.999664897,1,60,0.00024
784,0.999687696,1,60,0.00024
794,0.999708072,1,60,0.00024
804,0.999726387,1,60,0.00024
814,0.999742943,1,60,0.00024
824,0.999757996,1,60,0.00024
834,0.999771761,1,60,0.00016
844,0.999784418,1,60,0.00016
854,0.999796116,1,60,0.00016
864,0.999806981,1,60,0.00016
874,0.999817117,1,60,0.00016
884,0.999826612,1,60,0.00016
894,0.999835538,1,60,0.00012
904,0.999843955,1,60,0.00012
914,0.999851913,1,60,8.00E-05
924,0.999859454,1,60,8.00E-05
934,0.999866614,1,60,4.00E-05
944,0.999873422,1,60,4.00E-05
954,0.999879903,1,60,4.00E-05
964,0.999886079,1,60,4.00E-05
974,0.999891967,1,60,4.00E-05
4,0.142597972,0.329817265,75,0.856
14,0.307486737,0.336330166,75,0.69352
