Time,P11,P22
4,0.01796,0.02812
5,0.01436,0.02324
6,0.0128,0.01912
7,0.01176,0.0166
8,0.01096,0.01528
9,0.01004,0.01416
10,0.00984,0.01324
11,0.00968,0.01268
12,0.00944,0.0122
13,0.00928,0.01184
14,0.00924,0.01168
15,0.00916,0.0114
16,0.00912,0.01124
17,0.00896,0.011
18,0.00892,0.01092
19,0.0088,0.01088
20,0.0086,0.01088
21,0.00848,0.01084
22,0.0084,0.01072
23,0.0084,0.01072
24,0.00832,0.01072
25,0.0082,0.01072
26,0.00808,0.01068
27,0.00804,0.01064
28,0.00792,0.01064
29,0.00772,0.0106
30,0.0076,0.0106
31,0.00756,0.0106
32,0.00744,0.01056
33,0.00728,0.01048
34,0.00712,0.01048
35,0.007,0.01048
36,0.00688,0.01044
37,0.00668,0.0104
38,0.00644,0.01032
39,0.00644,0.01032
40,0.00636,0.01032
41,0.00636,0.01028
42,0.00632,0.01024
43,0.0062,0.01016
44,0.00604,0.01008
45,0.00596,0.01004
46,0.00592,0.01
47,0.0058,0.01
48,0.00576,0.01
49,0.00572,0.01
50,0.0056,0.01
51,0.0056,0.01
52,0.0056,0.00988
53,0.00548,0.00976
54,0.0054,0.00976
55,0.0054,0.00964
56,0.00532,0.00956
57,0.00528,0.00956
58,0.00516,0.00952
59,0.00512,0.00952
60,0.00508,0.00948
61,0.00492,0.00944
62,0.0048,0.00944
63,0.0046,0.0094
64,0.00448,0.0094
65,0.00448,0.00936
66,0.00444,0.00928
67,0.00428,0.0092
68,0.0042,0.0092
69,0.00412,0.00912
70,0.00404,0.00908
71,0.00388,0.00904
72,0.0038,0.009
73,0.0038,0.00892
74,0.0038,0.00888
75,0.0038,0.00884
76,0.00368,0.00884
77,0.00356,0.0088
78,0.00348,0.00868
79,0.00344,0.00864
80,0.00336,0.0086
81,0.00336,0.00856
82,0.00332,0.00852
83,0.0032,0.00848
84,0.00312,0.00848
85,0.00308,0.0084
86,0.00304,0.00832
87,0.00304,0.00828
88,0.003,0.00824
89,0.003,0.00824
90,0.00292,0.00812
91,0.00288,0.00804
92,0.00284,0.008
93,0.0028,0.00796
94,0.00276,0.00792
95,0.00272,0.00792
96,0.00264,0.00788
97,0.00256,0.00788
98,0.00256,0.00788
99,0.00256,0.00784
100,0.00256,0.0078
101,0.00252,0.0078
102,0.00252,0.00776
103,0.00248,0.00768
104,0.0024,0.00764
105,0.00236,0.00752
106,0.00236,0.00752
107,0.00228,0.00748
108,0.00228,0.00744
109,0.0022,0.0074
110,0.0022,0.00736
111,0.0022,0.00736
112,0.00216,0.00736
113,0.00208,0.00736
114,0.00208,0.00736
115,0.002,0.00724
116,0.002,0.00724
117,0.002,0.00724
118,0.00196,0.00724
119,0.00196,0.00716
120,0.00188,0.00708
121,0.00188,0.00704
122,0.00188,0.00704
123,0.00184,0.00704
124,0.0018,0.00696
125,0.0018,0.00684
126,0.00176,0.0068
127,0.00176,0.0068
128,0.00176,0.00672
129,0.00168,0.00668
130,0.00168,0.0066
131,0.00168,0.0066
132,0.00168,0.0066
133,0.00168,0.0066
134,0.0016,0.00656
135,0.0016,0.00656
136,0.0016,0.00644
137,0.00156,0.00644
138,0.00156,0.00644
139,0.00156,0.00644
140,0.00156,0.0064
141,0.00152,0.00636
142,0.00148,0.00624
143,0.00148,0.00624
144,0.00148,0.00616
145,0.00144,0.00616
146,0.0014,0.00608
147,0.0014,0.00608
148,0.0014,0.00604
149,0.00132,0.00596
150,0.00132,0.00596
