Time,P11,P22
4,0.07768,0.13024
5,0.05752,0.10104
6,0.04544,0.079
7,0.03716,0.06452
8,0.03244,0.0544
9,0.0294,0.04632
10,0.02724,0.04048
11,0.02596,0.0364
12,0.02472,0.0336
13,0.02384,0.03152
14,0.02316,0.02988
15,0.02268,0.02872
16,0.02236,0.02748
17,0.02212,0.02644
18,0.02164,0.02596
19,0.02144,0.02544
20,0.02104,0.02508
21,0.02056,0.02488
22,0.02036,0.02452
23,0.02008,0.02432
24,0.01976,0.02408
25,0.0194,0.02384
26,0.01888,0.02376
27,0.01852,0.02356
28,0.01832,0.02332
29,0.0182,0.02324
30,0.01804,0.02312
31,0.0176,0.02308
32,0.01728,0.02304
33,0.01696,0.02292
34,0.01664,0.0228
35,0.01636,0.02276
36,0.01616,0.02256
37,0.01588,0.02248
38,0.01572,0.02248
39,0.01544,0.02244
40,0.01528,0.02236
41,0.01484,0.02232
42,0.01464,0.0222
43,0.0144,0.02212
44,0.01416,0.02188
45,0.01396,0.0218
46,0.01384,0.02164
47,0.01364,0.0216
48,0.01324,0.02156
49,0.01312,0.0214
50,0.01304,0.02128
51,0.01284,0.02116
52,0.01272,0.02112
53,0.0126,0.02104
54,0.01232,0.02096
55,0.01224,0.0208
56,0.01216,0.0208
57,0.01184,0.02076
58,0.01172,0.02072
59,0.01164,0.02064
60,0.01144,0.0206
61,0.01132,0.0204
62,0.01128,0.02036
63,0.01116,0.0202
64,0.01104,0.02016
65,0.01076,0.02016
66,0.01056,0.02012
67,0.01028,0.02
68,0.0102,0.01996
69,0.0102,0.01988
70,0.01,0.01988
71,0.0098,0.01976
72,0.00952,0.01964
73,0.00948,0.0196
74,0.00944,0.01948
75,0.0094,0.01936
76,0.00932,0.01924
77,0.00928,0.01904
78,0.00916,0.01896
79,0.00896,0.0188
80,0.00884,0.01876
81,0.00872,0.01856
82,0.00856,0.01848
83,0.0084,0.01836
84,0.00824,0.01824
85,0.00808,0.0182
86,0.008,0.01812
87,0.008,0.01804
88,0.00796,0.01796
89,0.00784,0.01784
90,0.00772,0.0178
91,0.0076,0.0178
92,0.00744,0.01768
93,0.0074,0.0176
94,0.0074,0.01752
95,0.00728,0.01748
96,0.00716,0.0174
97,0.00696,0.01724
98,0.00684,0.01724
99,0.00684,0.01712
100,0.00668,0.017
101,0.00656,0.01692
102,0.00636,0.01684
103,0.00624,0.0168
104,0.00612,0.01672
105,0.006,0.0166
106,0.00596,0.01648
107,0.00588,0.01644
108,0.00576,0.01624
109,0.00572,0.01612
