Time,P11,P22
4,0.627,0.69648
5,0.59816,0.65592
6,0.57996,0.62736
7,0.5678,0.60836
8,0.55736,0.59464
9,0.54772,0.58528
10,0.5392,0.57856
11,0.53128,0.57324
12,0.52292,0.5692
13,0.51444,0.56508
14,0.50588,0.5624
15,0.4976,0.55996
16,0.4896,0.5584
17,0.48032,0.55676
18,0.47112,0.55472
19,0.463,0.552
20,0.45496,0.55068
21,0.44652,0.5488
22,0.438,0.54712
23,0.42848,0.54488
24,0.42148,0.54352
25,0.41308,0.54184
26,0.40412,0.53964
27,0.39628,0.53796
28,0.38912,0.53552
29,0.38208,0.53332
30,0.37448,0.53108
31,0.3676,0.52852
32,0.36016,0.5264
33,0.35384,0.5238
34,0.34632,0.52084
35,0.33908,0.51812
36,0.33256,0.51556
37,0.3262,0.51328
38,0.32064,0.5106
39,0.31488,0.50844
40,0.30904,0.50596
41,0.30304,0.50348
42,0.2978,0.50092
43,0.29216,0.49872
44,0.28676,0.49564
45,0.28096,0.49296
46,0.27588,0.49012
47,0.27044,0.4874
48,0.26564,0.4848
49,0.26092,0.48184
50,0.25568,0.47928
51,0.25048,0.47648
52,0.24644,0.4734
53,0.24284,0.47072
54,0.23856,0.46828
55,0.2348,0.46576
56,0.23088,0.462
57,0.22652,0.45904
58,0.22284,0.45628
59,0.21916,0.45404
60,0.2152,0.45132
61,0.21136,0.44856
62,0.20736,0.44548
63,0.20368,0.44264
64,0.20052,0.4392
65,0.19672,0.43668
66,0.19352,0.43324
67,0.19092,0.43048
68,0.18752,0.4274
69,0.1846,0.42512
70,0.18168,0.42228
71,0.17836,0.41956
72,0.17548,0.41664
73,0.17288,0.41364
74,0.17004,0.41068
75,0.16736,0.40788
76,0.16372,0.40516
77,0.16092,0.40208
78,0.15836,0.39944
79,0.15572,0.39704
80,0.15352,0.39432
81,0.15092,0.39172
82,0.1484,0.38944
83,0.1468,0.38604
84,0.14396,0.38352
85,0.14128,0.381
86,0.13956,0.37876
87,0.13788,0.3762
88,0.1358,0.374
89,0.13424,0.37152
90,0.1324,0.36856
91,0.13044,0.36584
92,0.12884,0.36348
93,0.12672,0.36052
94,0.12472,0.35872
95,0.12288,0.3566
96,0.12136,0.35468
97,0.11912,0.3524
98,0.11708,0.3502
99,0.11564,0.34812
100,0.11384,0.3454
101,0.11268,0.34312
102,0.11112,0.34112
103,0.10928,0.33924
104,0.10788,0.33704
105,0.10652,0.33472
106,0.10464,0.33292
107,0.10288,0.33064
108,0.10132,0.32852
109,0.10016,0.3266
110,0.09896,0.32404
111,0.09796,0.32168
112,0.09684,0.3192
113,0.09548,0.31744
114,0.09436,0.31544
