Time,P11,P22
4,0.3696,0.47244
5,0.33036,0.41328
6,0.30572,0.3732
7,0.29056,0.34492
8,0.27972,0.32452
9,0.27148,0.30996
10,0.26524,0.30008
11,0.2586,0.29272
12,0.25276,0.28728
13,0.24756,0.28308
14,0.24184,0.27904
15,0.23648,0.27668
16,0.23128,0.27408
17,0.22624,0.27256
18,0.2214,0.27088
19,0.21588,0.269
20,0.21024,0.26796
21,0.20532,0.2668
22,0.20032,0.26564
23,0.19608,0.26408
24,0.1918,0.2628
25,0.18808,0.26136
26,0.18412,0.26032
27,0.17984,0.2594
28,0.17496,0.25816
29,0.17116,0.25728
30,0.16708,0.25592
31,0.1632,0.25452
32,0.15924,0.2532
33,0.15544,0.25216
34,0.1524,0.25072
35,0.14936,0.24916
36,0.14584,0.2478
37,0.14276,0.24612
38,0.13912,0.24428
39,0.13568,0.24228
40,0.133,0.2412
41,0.13024,0.23956
42,0.127,0.23808
43,0.12376,0.23652
44,0.12104,0.23496
45,0.11812,0.23336
46,0.11512,0.2316
47,0.11256,0.23016
48,0.11016,0.22836
49,0.10788,0.22664
50,0.1054,0.22532
51,0.1034,0.22376
52,0.10104,0.22204
53,0.09932,0.22032
54,0.09736,0.21804
55,0.09564,0.21624
56,0.09436,0.21496
57,0.0918,0.21312
58,0.09008,0.21148
59,0.0882,0.2098
60,0.08644,0.20812
61,0.08468,0.20652
62,0.08268,0.20492
63,0.08136,0.20368
64,0.07984,0.20216
65,0.07848,0.20032
66,0.07676,0.19872
67,0.0752,0.19704
68,0.07356,0.19604
69,0.07156,0.19444
70,0.07028,0.19296
71,0.06896,0.19212
72,0.0676,0.1908
73,0.06632,0.18916
74,0.06552,0.18788
75,0.06456,0.18656
76,0.06336,0.18528
77,0.06256,0.18376
78,0.06136,0.18172
79,0.06056,0.1804
80,0.05944,0.17916
81,0.05844,0.17792
82,0.0574,0.17624
83,0.05656,0.1748
84,0.05576,0.17348
85,0.05484,0.17228
86,0.05372,0.17096
87,0.05284,0.16992
88,0.05224,0.16884
89,0.05116,0.16756
90,0.05028,0.16604
91,0.04984,0.16472
92,0.04892,0.1634
93,0.04836,0.16176
94,0.04756,0.16
95,0.04692,0.15856
96,0.0462,0.157
97,0.04544,0.15564
98,0.04492,0.15396
99,0.04424,0.1526
100,0.04352,0.15148
101,0.04276,0.15044
102,0.04212,0.149
103,0.0416,0.14748
104,0.04076,0.14604
105,0.0404,0.1444
106,0.03968,0.1428
107,0.0392,0.14188
108,0.0388,0.1406
109,0.03824,0.13924
110,0.0378,0.13812
111,0.03732,0.13688
112,0.03688,0.13572
113,0.03636,0.13452
114,0.03596,0.13324
115,0.0354,0.13208
116,0.03476,0.1312
117,0.03416,0.1302
118,0.0336,0.12896
119,0.03308,0.12812
120,0.03284,0.1272
121,0.03236,0.12636
122,0.032,0.1252
123,0.03164,0.12384
124,0.03104,0.12304
125,0.03076,0.12192
126,0.0302,0.12096
127,0.02976,0.11968
128,0.02948,0.11888
129,0.02904,0.11788
130,0.0288,0.11664
131,0.0282,0.11572
132,0.02772,0.11492
133,0.02736,0.11392
134,0.0268,0.11296
135,0.02644,0.11212
136,0.02604,0.11124
137,0.02576,0.11044
138,0.02552,0.10968
139,0.02508,0.10876
140,0.02476,0.1082
141,0.02444,0.10744
142,0.024,0.10684
143,0.02364,0.106
144,0.0234,0.10528
145,0.02308,0.10436
146,0.02284,0.1036
147,0.02248,0.10292
148,0.0222,0.10232
149,0.02192,0.10168
150,0.02152,0.1008
151,0.02132,0.1
152,0.02096,0.09944
153,0.02084,0.09872
154,0.02048,0.09788
155,0.02012,0.09684
156,0.02,0.0964
157,0.0198,0.09576
158,0.01948,0.0952
159,0.0192,0.09436
160,0.01884,0.09344
161,0.01852,0.09268
162,0.01832,0.0922
163,0.01796,0.09164
164,0.01772,0.09096
165,0.0174,0.09016
166,0.01728,0.08924
167,0.01708,0.0884
168,0.0168,0.0876
169,0.0166,0.08712
170,0.0164,0.08644
171,0.0162,0.08584
172,0.01588,0.08532
173,0.01584,0.08476
174,0.01568,0.08408
175,0.01552,0.08352
176,0.0154,0.08288
177,0.01516,0.08228
178,0.01504,0.08152
179,0.01496,0.08092
180,0.01468,0.08036
181,0.01448,0.08008
182,0.01424,0.07928
183,0.014,0.0788
184,0.0138,0.07852
185,0.01372,0.07796
186,0.01356,0.07744
187,0.01328,0.07672
188,0.01308,0.07624
189,0.01296,0.07576
190,0.01272,0.0752
191,0.01264,0.07488
192,0.01256,0.07432
193,0.01228,0.07384
194,0.01216,0.0734
195,0.01208,0.07284
196,0.012,0.07228
197,0.01172,0.07172
198,0.01172,0.07132
199,0.01152,0.0708
200,0.0114,0.07028
201,0.01132,0.06972
202,0.01116,0.0692
203,0.01096,0.06896
204,0.01072,0.06828
205,0.01068,0.06792
206,0.01064,0.06756
207,0.01056,0.06708
208,0.01044,0.0666
209,0.01036,0.06628
210,0.0102,0.06596
211,0.01012,0.06568
212,0.00988,0.06516
213,0.0098,0.06488
214,0.00964,0.0644
215,0.00964,0.064
216,0.0096,0.0636
217,0.00936,0.063
218,0.00924,0.06248
219,0.00912,0.06204
220,0.009,0.0618
221,0.00892,0.06128
222,0.00876,0.06092
223,0.00868,0.06068
224,0.00856,0.0604
225,0.00848,0.06004
226,0.0084,0.0598
227,0.00824,0.05956
228,0.00812,0.0592
229,0.00808,0.05872
230,0.00796,0.05824
231,0.0078,0.05784
232,0.00776,0.0574
233,0.00776,0.05708
234,0.00772,0.0568
235,0.00764,0.05636
236,0.00764,0.056
237,0.00756,0.05568
238,0.00752,0.05536
239,0.00748,0.05504
240,0.00744,0.05476
241,0.00724,0.05452
242,0.007,0.05416
243,0.00692,0.05368
244,0.00688,0.05332
245,0.00684,0.05296
246,0.0068,0.0526
247,0.0068,0.05236
248,0.00668,0.05192
249,0.00664,0.0516
250,0.0066,0.05128
