Time,P11,P22
4,0.76208,0.79224
5,0.74084,0.76324
6,0.72796,0.74392
7,0.71736,0.7302
8,0.708,0.72028
9,0.69896,0.71348
10,0.68972,0.70828
11,0.68196,0.70452
12,0.67368,0.70124
13,0.66536,0.6988
14,0.65696,0.69672
15,0.6478,0.69508
16,0.63844,0.69336
17,0.62904,0.69216
18,0.6194,0.69056
19,0.60944,0.68888
20,0.60012,0.68704
21,0.59064,0.68556
22,0.58084,0.6836
23,0.57176,0.68184
24,0.56272,0.68004
25,0.55384,0.67808
26,0.54484,0.67608
27,0.53588,0.67416
28,0.52696,0.6716
29,0.51832,0.66968
30,0.5092,0.66776
31,0.50052,0.6654
32,0.49148,0.66292
33,0.4834,0.66004
34,0.47644,0.6578
35,0.46844,0.65528
36,0.46032,0.65248
37,0.45276,0.6502
38,0.4454,0.64808
39,0.43824,0.64516
40,0.43156,0.6422
41,0.42516,0.6394
42,0.41912,0.63628
43,0.41164,0.634
44,0.40528,0.63104
45,0.39916,0.6286
46,0.39272,0.6258
47,0.38692,0.62284
48,0.38028,0.6196
49,0.37496,0.6168
50,0.36892,0.61412
51,0.3624,0.61088
52,0.3572,0.60748
53,0.35204,0.60424
54,0.34664,0.60068
55,0.34132,0.59776
56,0.33612,0.59456
57,0.33136,0.5916
58,0.3264,0.58868
59,0.32176,0.58552
60,0.31548,0.5822
61,0.31048,0.57872
62,0.30544,0.57572
63,0.30064,0.573
64,0.29596,0.56976
65,0.29132,0.56624
66,0.2872,0.56284
67,0.28228,0.55944
68,0.27788,0.55584
69,0.27464,0.55328
70,0.27028,0.55048
71,0.2652,0.54752
72,0.261,0.54416
73,0.25768,0.54172
74,0.25372,0.53852
75,0.25024,0.5352
76,0.24656,0.53204
77,0.2428,0.52904
78,0.2386,0.52604
79,0.23564,0.52312
80,0.23228,0.52032
81,0.22948,0.5176
82,0.22644,0.51524
83,0.22372,0.51248
84,0.22072,0.50948
85,0.2174,0.50628
86,0.21448,0.50312
87,0.21164,0.50012
88,0.2088,0.49772
89,0.20608,0.49464
90,0.20376,0.49196
91,0.20092,0.48892
92,0.19812,0.4866
93,0.19504,0.4844
94,0.19236,0.4818
95,0.19048,0.47892
96,0.18768,0.47656
97,0.1844,0.47428
98,0.18144,0.47096
99,0.17924,0.46844
100,0.17668,0.46568
101,0.17408,0.46288
102,0.17152,0.46048
103,0.16888,0.45788
104,0.16688,0.45552
105,0.16552,0.45296
106,0.16308,0.45044
107,0.16088,0.44804
108,0.15876,0.44504
109,0.1568,0.44236
110,0.15412,0.44
111,0.15244,0.43784
112,0.15012,0.43604
113,0.14788,0.43328
114,0.14612,0.43148
115,0.14436,0.429
116,0.14264,0.42684
117,0.141,0.42428
118,0.13908,0.4222
119,0.13756,0.42008
120,0.1358,0.41796
121,0.13376,0.41592
122,0.13208,0.41428
123,0.1306,0.41192
124,0.12872,0.40912
125,0.12724,0.407
126,0.12544,0.40496
127,0.12368,0.40272
128,0.1222,0.40008
129,0.12036,0.39844
130,0.11904,0.39628
131,0.11744,0.39396
132,0.1158,0.39164
133,0.1144,0.38972
134,0.11296,0.38796
135,0.11164,0.38576
136,0.1104,0.38336
137,0.10896,0.38128
138,0.10768,0.37916
139,0.10672,0.37708
140,0.1054,0.37496
141,0.10428,0.37276
142,0.10276,0.3708
143,0.1014,0.36824
144,0.09992,0.366
145,0.09884,0.3642
146,0.09772,0.36256
147,0.09648,0.36072
148,0.09532,0.35852
149,0.09412,0.3566
150,0.09244,0.35428
151,0.09144,0.3524
152,0.09012,0.35064
153,0.08892,0.34864
154,0.0878,0.34688
155,0.08688,0.34516
156,0.08568,0.34324
157,0.08456,0.34124
158,0.08352,0.3392
159,0.08248,0.33736
160,0.08108,0.3358
161,0.08,0.3344
162,0.07872,0.3328
163,0.07772,0.331
164,0.07724,0.329
165,0.0762,0.32732
166,0.07516,0.32552
167,0.0742,0.32428
168,0.07344,0.32256
169,0.07236,0.32104
