Time,P1,P2,IM,Rec
1,0,0,80,0.01196
2,0.039650084,0.245485448,80,0.026
3,0.061103559,0.245690095,80,0.03798
4,0.086040019,0.245976508,80,0.05402
5,0.111062355,0.246344594,80,0.06824
6,0.133504152,0.246794232,80,0.0821
7,0.151810098,0.247325278,80,0.09236
8,0.165533596,0.247937557,80,0.10018
9,0.175060779,0.248630871,80,0.10578
10,0.181230027,0.249404995,80,0.10952
11,0.184992456,0.250259678,80,0.11218
12,0.18719002,0.251194643,80,0.11376
13,0.188458977,0.252209587,80,0.11476
14,0.189224784,0.253304181,80,0.11538
15,0.189743823,0.254478072,80,0.11592
16,0.190156832,0.25573088,80,0.11618
17,0.190534663,0.257062201,80,0.11658
18,0.190910185,0.258471606,80,0.11696
19,0.191297485,0.259958641,80,0.1173
20,0.191702151,0.261522828,80,0.11756
21,0.192126229,0.263163665,80,0.11786
22,0.192570399,0.264880627,80,0.11834
23,0.193034853,0.266673163,80,0.11862
24,0.193519624,0.268540701,80,0.11924
25,0.194024691,0.270482644,80,0.11968
26,0.19455002,0.272498376,80,0.1203
27,0.19509557,0.274587254,80,0.12082
28,0.195661296,0.276748616,80,0.12154
29,0.196247155,0.278981779,80,0.12218
30,0.196853099,0.281286036,80,0.12292
31,0.197479079,0.283660661,80,0.1237
32,0.198125047,0.286104907,80,0.12438
33,0.198790951,0.288618006,80,0.1252
34,0.199476737,0.291199174,80,0.126
35,0.200182351,0.293847602,80,0.12688
36,0.200907738,0.296562466,80,0.1274
37,0.201652838,0.299342923,80,0.1278
38,0.202417593,0.302188112,80,0.1286
39,0.203201943,0.305097153,80,0.12944
40,0.204005825,0.30806915,80,0.13018
41,0.204829175,0.31110319,80,0.1308
42,0.205671929,0.314198344,80,0.1315
43,0.206534019,0.317353669,80,0.13234
44,0.207415378,0.320568203,80,0.13296
45,0.208315935,0.323840971,80,0.1338
46,0.20923562,0.327170986,80,0.13456
47,0.21017436,0.330557244,80,0.13544
48,0.211132081,0.333998729,80,0.13626
49,0.212108707,0.337494412,80,0.13718
50,0.213104163,0.341043253,80,0.13804
51,0.214118369,0.344644198,80,0.13902
52,0.215151246,0.348296183,80,0.13988
53,0.216202713,0.351998134,80,0.14084
54,0.217272688,0.355748966,80,0.14174
55,0.218361086,0.359547585,80,0.1428
56,0.219467823,0.363392886,80,0.14376
57,0.220592811,0.367283757,80,0.14464
58,0.221735965,0.371219079,80,0.14574
59,0.222897193,0.375197723,80,0.14676
60,0.224076406,0.379218555,80,0.1478
61,0.225273512,0.383280434,80,0.14892
62,0.226488418,0.387382211,80,0.15002
63,0.227721029,0.391522736,80,0.15128
64,0.228971251,0.39570085,80,0.15258
65,0.230238985,0.399915392,80,0.15334
66,0.231524135,0.404165196,80,0.15456
67,0.232826601,0.408449094,80,0.15542
68,0.234146282,0.412765914,80,0.15676
69,0.235483077,0.417114483,80,0.15784
70,0.236836883,0.421493626,80,0.15906
71,0.238207595,0.425902165,80,0.16022
72,0.23959511,0.430338925,80,0.1614
73,0.240999319,0.434802727,80,0.1627
74,0.242420116,0.439292396,80,0.16408
75,0.243857392,0.443806754,80,0.16546
76,0.245311038,0.448344629,80,0.16678
77,0.246780943,0.452904847,80,0.1685
78,0.248266994,0.457486237,80,0.16996
79,0.249769079,0.462087634,80,0.17126
80,0.251287084,0.466707872,80,0.1725
81,0.252820894,0.471345792,80,0.17382
82,0.254370393,0.476000237,80,0.17524
83,0.255935464,0.480670057,80,0.17682
84,0.257515988,0.485354106,80,0.17794
85,0.259111848,0.490051244,80,0.17932
86,0.260722922,0.494760336,80,0.18094
87,0.262349091,0.499480255,80,0.1823
88,0.263990232,0.504209881,80,0.18394
89,0.265646222,0.5089481,80,0.18514
90,0.267316938,0.513693806,80,0.18708
91,0.269002256,0.518445903,80,0.18834
92,0.27070205,0.523203302,80,0.19006
93,0.272416193,0.527964923,80,0.19198
94,0.27414456,0.532729697,80,0.19358
95,0.275887021,0.537496561,80,0.19534
96,0.277643448,0.542264467,80,0.19674
97,0.279413713,0.547032373,80,0.1984
98,0.281197684,0.551799251,80,0.2
99,0.282995231,0.556564083,80,0.20132
100,0.284806221,0.561325861,80,0.20288
101,0.286630523,0.566083591,80,0.20428
102,0.288468004,0.57083629,80,0.20618
103,0.290318529,0.575582987,80,0.20782
104,0.292181963,0.580322725,80,0.2096
105,0.294058173,0.585054557,80,0.21114
106,0.295947022,0.589777553,80,0.21272
107,0.297848373,0.594490794,80,0.2144
108,0.29976209,0.599193375,80,0.2161
109,0.301688036,0.603884405,80,0.21776
110,0.30362607,0.608563007,80,0.21968
111,0.305576056,0.613228319,80,0.22154
112,0.307537854,0.617879492,80,0.2234
113,0.309511323,0.622515695,80,0.225
114,0.311496324,0.627136107,80,0.2271
115,0.313492716,0.631739927,80,0.2284
116,0.315500358,0.636326366,80,0.23038
117,0.317519107,0.640894651,80,0.2321
118,0.319548821,0.645444025,80,0.23376
119,0.321589359,0.649973747,80,0.236
120,0.323640577,0.654483092,80,0.2383
121,0.325702331,0.65897135,80,0.24048
122,0.327774478,0.663437826,80,0.24248
123,0.329856873,0.667881844,80,0.24464
124,0.331949373,0.672302741,80,0.24652
125,0.334051832,0.676699874,80,0.2484
126,0.336164105,0.681072612,80,0.25038
127,0.338286047,0.685420343,80,0.25252
128,0.340417512,0.689742471,80,0.2544
129,0.342558355,0.694038417,80,0.2565
130,0.344708428,0.698307617,80,0.25844
131,0.346867586,0.702549524,80,0.26064
132,0.349035683,0.706763609,80,0.26234
133,0.35121257,0.710949357,80,0.26458
