Time,P1,P2,IM,Rec
4,0.663724191,0.564353457,0.9,0.431
5,0.702732928,0.622998058,0.9,0.497
6,0.726616229,0.663086561,0.9,0.544
7,0.742240828,0.690740462,0.9,0.58
8,0.753268499,0.710096216,0.9,0.605
9,0.761693985,0.723869591,0.9,0.628
10,0.768627609,0.73384223,0.9,0.643
11,0.774697732,0.741194171,0.9,0.658
12,0.780263292,0.74671752,0.9,0.669
13,0.785529349,0.750951753,0.9,0.677
14,0.790611665,0.754269604,0.9,0.691
15,0.795573671,0.756932136,0.9,0.698
16,0.800448054,0.759124508,0.9,0.702
17,0.80524957,0.760979546,0.9,0.711
18,0.809982721,0.762593489,0.9,0.714
19,0.814646393,0.764036669,0.9,0.716
20,0.819236649,0.765360845,0.9,0.722
21,0.823748395,0.766604313,0.9,0.73
22,0.828176362,0.767795508,0.9,0.734
23,0.832515653,0.76895557,0.9,0.738
24,0.836762029,0.770100199,0.9,0.742
25,0.840912036,0.771241007,0.9,0.744
26,0.84496303,0.77238651,0.9,0.747
27,0.848913151,0.773542871,0.9,0.75
28,0.852761265,0.774714451,0.9,0.753
29,0.856506884,0.775904229,0.9,0.759
30,0.860150095,0.777114123,0.9,0.762
31,0.863691474,0.778345233,0.9,0.764
32,0.867132015,0.779598029,0.9,0.767
33,0.870473064,0.780872501,0.9,0.769
34,0.873716251,0.782168271,0.9,0.769
35,0.876863443,0.783484682,0.9,0.772
36,0.879916688,0.784820871,0.9,0.776
37,0.88287818,0.786175824,0.9,0.78
38,0.885750218,0.787548418,0.9,0.783
39,0.888535178,0.788937456,0.9,0.785
40,0.891235486,0.790341698,0.9,0.785
41,0.893853595,0.79175988,0.9,0.788
42,0.896391965,0.79319073,0.9,0.788
43,0.898853052,0.794632984,0.9,0.79
44,0.901239292,0.796085395,0.9,0.792
45,0.903553087,0.797546743,0.9,0.797
46,0.905796804,0.799015837,0.9,0.798
47,0.907972764,0.800491525,0.9,0.801
48,0.910083234,0.801972694,0.9,0.802
49,0.912130429,0.803458274,0.9,0.803
50,0.914116502,0.804947236,0.9,0.804
51,0.91604355,0.806438598,0.9,0.805
52,0.917913603,0.807931424,0.9,0.807
53,0.919728632,0.809424821,0.9,0.809
54,0.921490543,0.810917939,0.9,0.815
