Time,Disf
1,0.650689984
2,0.445262207
3,0.392842428
4,0.086708977
5,0.030927318
6,0.026420322
7,0.022209564
8,0.018699573
9,0.016096007
10,0.014227772
11,0.01302009
12,0.012208728
13,0.01177486
14,0.011537234
15,0.01138509
16,0.011317006
17,0.011283664
18,0.011252575
19,0.011233448
20,0.011227007
21,0.011212179
22,0.011193596
23,0.011189917
24,0.011182949
25,0.011161947
26,0.011141285
27,0.011125657
28,0.011120031
29,0.011102211
30,0.011087398
31,0.011077456
32,0.01106711
33,0.011055397
34,0.011042066
35,0.011031869
36,0.011018459
37,0.010990088
38,0.010973304
39,0.010957764
40,0.010933039
41,0.010915484
42,0.010897267
43,0.010876768
44,0.010864192
45,0.010849259
46,0.010831021
47,0.0108143
48,0.010791621
49,0.010778542
50,0.010754489
51,0.010735439
52,0.010706192
53,0.010682123
54,0.010646684
55,0.010626957
56,0.010600893
57,0.010578132
58,0.010558815
59,0.010543813
60,0.01051715
61,0.010493179
62,0.010473618
63,0.010451623
64,0.010421722
65,0.010389479
66,0.010367005
67,0.010337061
68,0.010305906
69,0.010276158
70,0.010259045
71,0.010236872
72,0.01021227
73,0.010185661
74,0.01015931
75,0.010136079
76,0.01010698
77,0.010076787
78,0.010038945
79,0.010001327
80,0.009962508
81,0.009928944
82,0.009902424
83,0.009871997
84,0.009840951
85,0.009792272
86,0.009766924
87,0.009729236
88,0.009685556
89,0.009657586
90,0.009612257
91,0.009565455
92,0.009520325
93,0.009478832
94,0.009437149
95,0.009405774
96,0.009383705
97,0.009342668
98,0.009307821
99,0.00927127
100,0.009235319
101,0.009198814
102,0.009156851
103,0.009124117
104,0.009093399
105,0.00906877
106,0.009035853
107,0.009005202
108,0.008953152
109,0.008919276
110,0.008893051
111,0.00885329
112,0.008814074
113,0.008785721
114,0.008760619
115,0.008724978
116,0.008685977
117,0.008657799
118,0.008619277
119,0.008583913
120,0.008555356
121,0.008520981
122,0.008483104
123,0.008450985
124,0.008408696
125,0.008365314
126,0.008335942
127,0.008298184
128,0.008269616
129,0.008238952
130,0.00821683
131,0.008172298
132,0.008132998
133,0.008100748
134,0.008061091
135,0.008023831
136,0.007988108
137,0.007961736
138,0.007914788
139,0.007878112
140,0.007846977
141,0.007801166
142,0.007765118
143,0.007708356
144,0.007672874
145,0.007615053
146,0.007576449
147,0.007544501
148,0.007507735
149,0.007465208
150,0.007425582
151,0.00740191
152,0.007369152
153,0.007337738
154,0.007316356
155,0.007277882
156,0.007246977
157,0.007206575
158,0.00716911
159,0.007131561
160,0.007097088
161,0.00705587
162,0.007021182
163,0.006980312
164,0.006932899
165,0.006900096
166,0.006876258
167,0.006845966
168,0.00682012
169,0.006788493
170,0.006748826
171,0.006728041
172,0.006680706
173,0.006646032
174,0.006607169
175,0.006581203
176,0.006551196
177,0.006512825
178,0.006482172
179,0.006447256
180,0.006420748
181,0.006373546
182,0.006313266
183,0.00627022
184,0.006236617
185,0.006194479
186,0.006154064
187,0.006137599
188,0.006109031
189,0.006076207
190,0.006057273
191,0.006031959
192,0.006007197
193,0.005985797
194,0.005960743
195,0.005928191
196,0.005907844
197,0.005869856
198,0.005838724
199,0.005816138
200,0.005787871
201,0.005741527
202,0.005701891
203,0.00566926
204,0.005634548
205,0.005603284
206,0.005569914
207,0.005542212
208,0.0055227
209,0.005497995
210,0.005469911
211,0.00544488
212,0.005414639
213,0.005386866
214,0.005358971
215,0.005332334
216,0.005305292
217,0.00528263
218,0.005249238
219,0.005209376
220,0.005176663
221,0.005147173
222,0.005105527
223,0.005072662
224,0.005044293
225,0.005014766
226,0.00499081
227,0.004969226
228,0.004944261
229,0.004916971
230,0.004885861
231,0.004854709
232,0.004812626
233,0.004779048
234,0.004751211
235,0.004709134
236,0.004682736
237,0.004650404
238,0.004632347
239,0.00459992
240,0.004572086
241,0.0045476
242,0.004525473
243,0.004498432
244,0.004469803
245,0.004447904
246,0.004408715
247,0.004385415
248,0.004363793
249,0.004332238
250,0.004308081
251,0.004286485
252,0.004246678
253,0.004220988
254,0.004187979
255,0.004157861
256,0.004129071
257,0.004105077
258,0.004086266
259,0.004063306
260,0.00403751
261,0.004018387
262,0.003996502
263,0.00396909
264,0.003942065
265,0.003920233
266,0.003903167
267,0.003875681
268,0.003851013
269,0.003828227
270,0.003805336
271,0.003780934
272,0.003756227
273,0.003730418
274,0.003709941
275,0.003681593
276,0.00366014
277,0.003639321
278,0.003602124
279,0.003575524
280,0.003552677
281,0.003519146
282,0.003502674
283,0.003478002
284,0.003457186
285,0.003436704
286,0.003413269
287,0.003394285
288,0.003369117
289,0.003348903
290,0.003324734
291,0.0033089
292,0.003286732
293,0.003263532
294,0.003241915
295,0.003228309
296,0.003199688
