IM,Minor,Mod,Sev
1.47,0.969959387,0.595132545,0.252073703
1.48,0.971115108,0.600580986,0.256626352
1.49,0.97227083,0.606029426,0.261513835
1.5,0.973426552,0.611477867,0.266401317
1.51,0.974526028,0.616926308,0.271288799
1.52,0.975434842,0.622374748,0.276176281
1.53,0.976343656,0.627823189,0.281063764
1.54,0.97725247,0.63327163,0.285951246
1.55,0.978161284,0.638720071,0.290838728
1.56,0.979070098,0.644161959,0.29572621
1.57,0.979978912,0.648440419,0.300103573
1.58,0.980887726,0.652718879,0.303943798
1.59,0.98179654,0.656997338,0.307784022
1.6,0.982705354,0.661275798,0.311624247
1.61,0.983614169,0.665554258,0.315464471
1.62,0.984522983,0.669832718,0.319304696
1.63,0.985431797,0.674111177,0.32314492
1.64,0.986340611,0.678389637,0.326985145
1.65,0.987249425,0.682668097,0.330825369
1.66,0.988158239,0.686946556,0.334665594
1.67,0.989067053,0.691225016,0.338505818
1.68,0.989975867,0.694902929,0.342346043
1.69,0.990610575,0.698349722,0.346024655
1.7,0.991186656,0.701796515,0.349618332
1.71,0.991762737,0.705243308,0.353212008
1.72,0.992338818,0.708690101,0.356805685
1.73,0.992914898,0.712136894,0.360399361
1.74,0.993490979,0.715583687,0.363993038
1.75,0.99406706,0.71903048,0.367586714
1.76,0.99464314,0.722477273,0.371180391
1.77,0.995219221,0.725924066,0.374774068
1.78,0.995795302,0.729370858,0.378530931
1.79,0.996371383,0.732817651,0.384206065
1.8,0.996947463,0.736264444,0.389881199
1.81,0.997523544,0.739711237,0.395556334
1.82,0.998099625,0.74315803,0.401231468
1.83,0.998675706,0.746604823,0.406906603
1.84,0.999251786,0.750051616,0.412581737
1.85,0.999827867,0.753148197,0.418256872
1.86,1,0.755914702,0.423932006
1.87,1,0.758681207,0.428915459
1.88,1,0.761447713,0.432552641
1.89,1,0.764214218,0.436189823
1.9,1,0.766980723,0.439827005
1.91,1,0.769747229,0.443464186
1.92,1,0.772513734,0.447101368
1.93,1,0.775280239,0.45073855
1.94,1,0.778046744,0.454375732
1.95,1,0.78081325,0.458012913
1.96,1,0.783579755,0.461650095
1.97,1,0.78634626,0.465287277
1.98,1,0.789112765,0.468924459
1.99,1,0.791879271,0.472394608
2,1,0.794645776,0.475295965
2.01,1,0.797412281,0.478197322
2.02,1,0.800178787,0.48109868
2.03,1,0.802945292,0.484000037
2.04,1,0.805711797,0.486901394
2.05,1,0.808478302,0.489802751
2.06,1,0.811209006,0.492704108
2.07,1,0.81350568,0.495605466
2.08,1,0.815802353,0.498775524
2.09,1,0.818099026,0.502922597
2.1,1,0.820395699,0.50706967
2.11,1,0.822692372,0.511216744
2.12,1,0.824989045,0.515363817
2.13,1,0.827285718,0.519510891
2.14,1,0.829582391,0.523657964
2.15,1,0.831879064,0.527805037
2.16,1,0.834175737,0.531952111
2.17,1,0.83647241,0.536099184
2.18,1,0.838769083,0.539448161
2.19,1,0.841065756,0.542726132
2.2,1,0.84336243,0.546004103
2.21,1,0.845659103,0.549282075
2.22,1,0.847955776,0.552560046
2.23,1,0.850252449,0.555838017
2.24,1,0.852549122,0.559115988
2.25,1,0.854734409,0.562393959
2.26,1,0.856788095,0.565671931
2.27,1,0.85884178,0.568949902
2.28,1,0.860895466,0.572227873
2.29,1,0.862949151,0.57548994
2.3,1,0.865002836,0.578488892
2.31,1,0.867056522,0.581487845
2.32,1,0.869110207,0.584486797
2.33,1,0.871163892,0.587485749
2.34,1,0.873217578,0.590484701
2.35,1,0.875271263,0.593483654
2.36,1,0.877324948,0.596482606
2.37,1,0.879378634,0.599481558
2.38,1,0.881432319,0.60248051
2.39,1,0.883160378,0.605479462
2.4,1,0.884294215,0.608453561
2.41,1,0.885428052,0.61139887
2.42,1,0.886561889,0.614344178
2.43,1,0.887695726,0.617289486
2.44,1,0.888829562,0.620234795
2.45,1,0.889963399,0.623180103
2.46,1,0.891097236,0.626125411
2.47,1,0.892231073,0.62907072
2.48,1,0.89336491,0.632016028
2.49,1,0.894498747,0.634961337
2.5,1,0.895632583,0.637906645
2.51,1,0.89676642,0.640851953
2.52,1,0.897900257,0.643797262
2.53,1,0.899034094,0.64674257
2.54,1,0.900167931,0.649687878
2.55,1,0.901301767,0.652633187
2.56,1,0.902435604,0.655578495
2.57,1,0.903569441,0.658523803
2.58,1,0.904703278,0.661469112
2.59,1,0.905787921,0.66441442
2.6,1,0.906866485,0.667179633
2.61,1,0.907945048,0.669863478
2.62,1,0.909023611,0.672547323
2.63,1,0.910102174,0.675231169
2.64,1,0.911180737,0.677915014
2.65,1,0.912259301,0.680598859
2.66,1,0.913337864,0.683282705
2.67,1,0.914416427,0.68596655
2.68,1,0.91549499,0.688650395
2.69,1,0.916573554,0.691334241
2.7,1,0.917652117,0.694018086
2.71,1,0.91873068,0.696701931
2.72,1,0.919809243,0.699385776
2.73,1,0.920887807,0.702069622
2.74,1,0.92196637,0.704753467
2.75,1,0.923044933,0.707437312
2.76,1,0.924123496,0.710121158
2.77,1,0.92520206,0.712805003
2.78,1,0.926286345,0.715488848
2.79,1,0.927372992,0.717817524
2.8,1,0.928459638,0.719930815
2.81,1,0.929546284,0.722044107
2.82,1,0.93063293,0.724157398
2.83,1,0.931719576,0.72627069
2.84,1,0.932806222,0.728383981
2.85,1,0.933892868,0.730497272
2.86,1,0.934979514,0.732610564
2.87,1,0.936066161,0.734723855
2.88,1,0.936938212,0.736837147
2.89,1,0.937636731,0.738950438
2.9,1,0.938335251,0.74106373
2.91,1,0.939033771,0.743177021
2.92,1,0.93973229,0.745290312
2.93,1,0.94043081,0.747403604
2.94,1,0.94112933,0.749516895
2.95,1,0.941827849,0.751630187
2.96,1,0.942526369,0.753743478
2.97,1,0.943224889,0.755737085
2.98,1,0.943923408,0.757400944
2.99,1,0.944621928,0.759064802
3,1,0.945320448,0.76072866
3.01,1,0.946018967,0.762392518
3.02,1,0.946717487,0.764056376
3.03,1,0.947416007,0.765720235
3.04,1,0.948114526,0.767384093
3.05,1,0.948813046,0.769047951
3.06,1,0.949511566,0.770711809
3.07,1,0.950210085,0.772375667
3.08,1,0.950908605,0.774039526
3.09,1,0.951607125,0.775703384
3.1,1,0.952305644,0.777367242
3.11,1,0.953004164,0.7790311
3.12,1,0.953702684,0.780694958
3.13,1,0.954401203,0.782358817
3.14,1,0.954996935,0.784022675
3.15,1,0.955579033,0.785686533
3.16,1,0.956161132,0.787350391
3.17,1,0.95674323,0.789048464
3.18,1,0.957325329,0.790942565
3.19,1,0.957907428,0.792836667
3.2,1,0.958489526,0.794730769
3.21,1,0.959071625,0.796624871
3.22,1,0.959653723,0.798518973
3.23,1,0.960235822,0.800413075
3.24,1,0.96081792,0.802307176
3.25,1,0.961400019,0.804201278
