Time,P1,P2,IM,Rec
4,0.248058236,0.196735718,1.7,0.149
5,0.269103342,0.226483051,1.7,0.164
6,0.283183305,0.246834983,1.7,0.175
7,0.293810031,0.260903432,1.7,0.185
8,0.302819621,0.270794514,1.7,0.194
9,0.311171422,0.277894081,1.7,0.197
10,0.319359541,0.283113946,1.7,0.203
11,0.327627007,0.287060157,1.7,0.214
12,0.336079992,0.290141143,1.7,0.223
13,0.344750246,0.292636212,1.7,0.227
14,0.353629927,0.294739075,1.7,0.237
15,0.362691282,0.296585794,1.7,0.238
16,0.371897814,0.298272974,1.7,0.24
17,0.381210573,0.299869791,1.7,0.246
18,0.390591613,0.301426069,1.7,0.253
19,0.400005781,0.302977778,1.7,0.256
20,0.409421543,0.304550855,1.7,0.261
21,0.418811237,0.306163871,1.7,0.263
22,0.428151017,0.307829946,1.7,0.268
23,0.437420618,0.30955812,1.7,0.273
24,0.44660304,0.311354365,1.7,0.28
25,0.455684203,0.313222326,1.7,0.283
26,0.464652605,0.315163881,1.7,0.287
27,0.473498989,0.317179562,1.7,0.298
28,0.482216044,0.319268876,1.7,0.301
29,0.490798131,0.321430555,1.7,0.307
30,0.499241041,0.323662745,1.7,0.314
31,0.507541784,0.325963157,1.7,0.32
32,0.515698397,0.328329189,1.7,0.324
33,0.523709787,0.330758009,1.7,0.328
34,0.531575588,0.333246637,1.7,0.331
35,0.539296042,0.335791999,1.7,0.336
36,0.546871894,0.338390975,1.7,0.34
37,0.554304307,0.341040433,1.7,0.345
38,0.561594779,0.343737257,1.7,0.354
39,0.568745088,0.346478374,1.7,0.363
40,0.57575723,0.349260766,1.7,0.366
41,0.582633374,0.352081489,1.7,0.374
42,0.589375825,0.354937677,1.7,0.379
43,0.595986988,0.357826556,1.7,0.385
44,0.602469344,0.360745443,1.7,0.392
45,0.608825419,0.363691755,1.7,0.397
46,0.615057773,0.366663007,1.7,0.402
47,0.621168976,0.369656818,1.7,0.406
48,0.627161602,0.372670903,1.7,0.413
49,0.633038209,0.375703082,1.7,0.42
50,0.638801339,0.378751272,1.7,0.425
51,0.644453501,0.381813486,1.7,0.426
52,0.649997173,0.384887835,1.7,0.431
53,0.655434794,0.387972518,1.7,0.436
54,0.660768757,0.391065829,1.7,0.438
55,0.666001413,0.394166144,1.7,0.442
56,0.671135061,0.397271928,1.7,0.448
57,0.676171955,0.400381724,1.7,0.451
58,0.681114294,0.403494152,1.7,0.456
59,0.685964228,0.406607911,1.7,0.46
60,0.690723855,0.409721769,1.7,0.464
61,0.695395222,0.412834564,1.7,0.471
62,0.699980326,0.415945198,1.7,0.474
63,0.70448111,0.41905264,1.7,0.476
